"name","dept","area","count","adjustedcount","year"
John M. Hollerbach,University of Utah,robotics,3.0,1.5,1987
Burkhard Wünsche,University of Auckland,robotics,1.0,0.333333333333,2009
Huaping Liu,Oregon State University,robotics,1.0,0.25,2014
Janet Wiles,University of Queensland,robotics,1.0,0.25,2012
Katherine J. Kuchenbecker,University of Pennsylvania,robotics,2.0,0.75,2016
David L. Spooner,Rensselaer Polytechnic Institute,robotics,1.0,0.333333333333,1985
Michael J. Wozny,Rensselaer Polytechnic Institute,robotics,1.0,0.333333333333,1985
Yong-Lae Park,Carnegie Mellon University,robotics,1.0,0.2,2014
Alois Knoll,TU Munich,robotics,3.0,0.666666666667,2008
Jonghyuk Kim,Australian National University,robotics,2.0,1.0,2012
Frank Dellaert,Georgia Institute of Technology,robotics,2.0,0.666666666667,1998
Peter K. Allen,Columbia University,robotics,1.0,0.333333333333,1993
Dinesh Manocha,University of North Carolina,robotics,1.0,0.5,1992
John F. Canny,University of California - Berkeley,robotics,1.0,0.5,1992
Darius Burschka,TU Munich,robotics,3.0,0.625,2009
Bart Selman,Cornell University,robotics,1.0,0.25,2012
Manuela M. Veloso,Carnegie Mellon University,robotics,7.0,3.0,2014
Nancy S. Pollard,Carnegie Mellon University,robotics,1.0,0.333333333333,2010
Finale Doshi-Velez,Harvard University,robotics,1.0,0.333333333333,2012
Peter Kazanzides,Johns Hopkins University,robotics,3.0,0.783333333333,2010
Daniel E. Koditschek,University of Pennsylvania,robotics,4.0,1.58333333333,2015
John M. Hollerbach,University of Utah,robotics,2.0,0.833333333333,2007
Surya P. N. Singh,University of Queensland,robotics,1.0,0.5,2005
Ian D. Reid 0001,University of Adelaide,robotics,1.0,0.5,2005
Matthias Althoff,TU Munich,robotics,1.0,0.25,2010
Matt W. Mutka,Michigan State University,robotics,1.0,0.5,2012
S. Shankar Sastry,University of California - Berkeley,robotics,1.0,0.5,1989
Fabio Tozeto Ramos,University of Sydney,robotics,2.0,0.5,2016
Gerd Hirzinger,TU Munich,robotics,3.0,1.33333333333,1996
Thomas M. Howard,University of Rochester,robotics,1.0,0.333333333333,2014
Brenna Argall,Northwestern University,robotics,1.0,0.5,2013
Jur van den Berg,University of Utah,robotics,2.0,0.533333333333,2012
Stephen J. Guy,University of Minnesota,robotics,1.0,0.2,2012
Marc Niethammer,University of North Carolina,robotics,1.0,0.2,2012
Russell H. Taylor,Johns Hopkins University,robotics,3.0,0.616666666667,2013
Richard F. Riesenfeld,University of Utah,robotics,1.0,0.25,2000
Elaine Cohen,University of Utah,robotics,1.0,0.25,2000
Camillo J. Taylor,University of Pennsylvania,robotics,1.0,0.5,2009
Robert E. Mahony,Australian National University,robotics,3.0,0.783333333333,2010
Oussama Khatib,Stanford University,robotics,4.0,1.83333333333,2005
Rajiv Gupta,University of California - Riverside,robotics,1.0,0.125,2014
Shree K. Nayar,Columbia University,robotics,1.0,0.333333333333,1989
Ronald S. Fearing,University of California - Berkeley,robotics,4.0,1.34285714286,2001
Leo Joskowicz,Hebrew University of Jerusalem,robotics,1.0,0.333333333333,1999
Elisha Sacks,Purdue University,robotics,1.0,0.333333333333,1999
Maya Cakmak,University of Washington,robotics,2.0,0.5,2007
Joelle Pineau,McGill University,robotics,1.0,0.333333333333,2008
Frank Dellaert,Georgia Institute of Technology,robotics,3.0,1.16666666667,2003
Manuela M. Veloso,Carnegie Mellon University,robotics,2.0,0.7,1998
Raymond K. Wong,UNSW,robotics,1.0,1.0,1995
Jeff M. Phillips,University of Utah,robotics,1.0,0.333333333333,2002
Lydia E. Kavraki,Rice University,robotics,3.0,1.0,2002
Martial Hebert,Carnegie Mellon University,robotics,2.0,1.0,2002
Xing-Dong Yang,Dartmouth College,robotics,1.0,0.333333333333,2008
Pierre Boulanger,University of Alberta,robotics,1.0,0.333333333333,2008
George Konidaris,Brown University,robotics,2.0,0.45,2012
Brenna Argall,Northwestern University,robotics,1.0,0.333333333333,2009
Manuela M. Veloso,Carnegie Mellon University,robotics,2.0,0.833333333333,2009
Hanan Samet,University of Maryland - College Park,robotics,1.0,0.5,1989
Kang G. Shin,University of Michigan,robotics,3.0,1.33333333333,2001
Russell H. Taylor,Johns Hopkins University,robotics,4.0,0.866666666667,2011
Manuela M. Veloso,Carnegie Mellon University,robotics,3.0,1.2,2005
Benjamin B. Bederson,University of Maryland - College Park,robotics,1.0,0.333333333333,1993
Yong-Lae Park,Carnegie Mellon University,robotics,2.0,0.392857142857,2011
Matthias Scheutz,Tufts University,robotics,1.0,0.5,2010
Yong-Lae Park,Carnegie Mellon University,robotics,1.0,0.111111111111,2016
Gregory Dudek,McGill University,robotics,2.0,0.5,1993
Devin J. Balkcom,Dartmouth College,robotics,1.0,0.5,2004
Matthew T. Mason,Carnegie Mellon University,robotics,2.0,0.833333333333,2004
Gerd Hirzinger,TU Munich,robotics,1.0,0.5,1995
Daniel D. Lee,University of Pennsylvania,robotics,1.0,0.25,2013
Sethu Vijayakumar,University of Edinburgh,robotics,1.0,0.25,2008
Stefan Schaal,University of Southern California,robotics,1.0,0.25,2008
Peter Kazanzides,Johns Hopkins University,robotics,1.0,0.333333333333,1989
Darius Burschka,TU Munich,robotics,2.0,0.75,2004
Gregory D. Hager,Johns Hopkins University,robotics,2.0,0.75,2004
Dimitris N. Metaxas,Rutgers University,robotics,1.0,0.2,2001
Anup Basu,University of Alberta,robotics,3.0,1.33333333333,1995
Mongi A. Abidi,University of Tennessee,robotics,1.0,0.333333333333,2002
R. E. Ellis,Queen’s University,robotics,2.0,1.0,1994
Robert E. Mahony,Australian National University,robotics,1.0,0.5,2000
Lynne E. Parker,University of Tennessee,robotics,2.0,0.666666666667,2014
Tomás Lozano-Pérez,Massachusetts Institute of Technology,robotics,2.0,0.833333333333,1989
Elias S. Manolakos,University of Athens,robotics,1.0,0.2,2012
Matthew T. Mason,Carnegie Mellon University,robotics,3.0,1.5,1998
Ingemar J. Cox,University College London,robotics,1.0,0.25,1995
Y. Narahari,IISc Bangalore,robotics,1.0,0.5,1995
Stuart J. Russell,University of California - Berkeley,robotics,1.0,0.166666666667,2014
Bruce Randall Donald,Duke University,robotics,1.0,1.0,1986
Martin Jägersand,University of Alberta,robotics,3.0,1.5,2005
Dana H. Ballard,University of Texas at Austin,robotics,1.0,0.5,1985
Russell H. Taylor,Johns Hopkins University,robotics,1.0,0.25,1986
Xi Chen,Columbia University,robotics,2.0,0.416666666667,2011
Song-Chun Zhu,University of California - Los Angeles,robotics,1.0,0.2,2014
Arvin Agah,University of Kansas,robotics,1.0,0.5,1994
Yixin Chen,Washington University in St. Louis,robotics,1.0,0.5,2002
Michael A. Erdmann,Carnegie Mellon University,robotics,1.0,0.1,2014
Matthew T. Mason,Carnegie Mellon University,robotics,1.0,0.1,2014
Eelke Folmer,University of Nevada,robotics,1.0,0.25,2012
Edwin Olson,University of Michigan,robotics,6.0,2.41666666667,2016
Kostas Daniilidis,University of Pennsylvania,robotics,2.0,0.45,2007
Martin Jägersand,University of Alberta,robotics,1.0,0.333333333333,1997
Brian Curless,University of Washington,robotics,1.0,0.333333333333,2011
Zoran Popovic,University of Washington,robotics,1.0,1.0,2000
Maria L. Gini,University of Minnesota,robotics,1.0,0.25,2011
Julie A. Adams,Vanderbilt University,robotics,1.0,0.5,2004
John Kenneth Salisbury Jr.,Stanford University,robotics,1.0,0.333333333333,1989
Gabor Fichtinger,Queen’s University,robotics,3.0,0.733333333333,2004
Leonidas J. Guibas,Stanford University,robotics,1.0,0.2,1997
Maurice F. Fallon,University of Edinburgh,robotics,1.0,0.25,2011
Jyh-Ming Lien,George Mason University,robotics,1.0,0.333333333333,2003
Robert E. Mahony,Australian National University,robotics,4.0,1.5,2006
Richard H. Lathrop,University of California - Irvine,robotics,1.0,1.0,1986
Gal A. Kaminka,Bar-Ilan University,robotics,2.0,0.666666666667,2010
Yezhou Yang,Arizona State University,robotics,2.0,0.4,2012
Hal Daumé III,University of Maryland - College Park,robotics,1.0,0.2,2012
Yiannis Aloimonos,University of Maryland - College Park,robotics,3.0,0.733333333333,2012
Pankaj K. Agarwal,Duke University,robotics,1.0,0.333333333333,2003
Hamid Reza Chitsaz,Colorado State University,robotics,1.0,0.5,2007
Benjamin Kuipers,University of Michigan,robotics,2.0,0.75,2013
Laurent Kneip,Australian National University,robotics,4.0,1.03333333333,2011
Davide Scaramuzza,University of Zurich,robotics,3.0,0.7,2011
Frank Dellaert,Georgia Institute of Technology,robotics,2.0,0.5,2012
Leslie Pack Kaelbling,Massachusetts Institute of Technology,robotics,2.0,0.666666666667,2004
Michael S. Branicky,University of Kansas,robotics,1.0,0.333333333333,2008
Ross A. Knepper,Cornell University,robotics,1.0,0.333333333333,2008
Gaurav S. Sukhatme,University of Southern California,robotics,4.0,0.892857142857,2008
Nikolaos P. Papanikolopoulos,University of Minnesota,robotics,2.0,0.833333333333,1992
Maria L. Gini,University of Minnesota,robotics,1.0,0.333333333333,1997
Karthik Dantu,University at Buffalo,robotics,1.0,0.5,2007
Carl Henrik Ek,University of Bristol,robotics,2.0,0.4,2012
Gregory Dudek,McGill University,robotics,5.0,2.33333333333,1998
Michael I. Jordan,University of California - Berkeley,robotics,1.0,0.25,2015
Andrea Thomaz,Georgia Institute of Technology,robotics,1.0,0.333333333333,2016
Henrik Christensen,Georgia Institute of Technology,robotics,1.0,0.333333333333,2016
Emanuel Todorov,University of Washington,robotics,4.0,1.36666666667,2012
Michael A. Goodrich,Brigham Young University,robotics,2.0,0.45,2005
Joelle Pineau,McGill University,robotics,1.0,0.333333333333,2007
Doina Precup,McGill University,robotics,1.0,0.333333333333,2007
John M. Hollerbach,University of Utah,robotics,2.0,1.33333333333,2000
Ehud Rivlin,Technion - Israel Institute of Technology,robotics,1.0,0.25,2015
Dezhen Song,Texas A&M University,robotics,4.0,1.16666666667,2006
Yiannis Aloimonos,University of Maryland - College Park,robotics,1.0,0.5,2005
Illah R. Nourbakhsh,Carnegie Mellon University,robotics,3.0,0.75,2001
Bernt Schiele,Max Planck Institute,robotics,1.0,0.5,1994
Davide Scaramuzza,University of Zurich,robotics,1.0,0.25,2012
Kostas Daniilidis,University of Pennsylvania,robotics,2.0,0.5,2012
Christopher G. Atkeson,Carnegie Mellon University,robotics,3.0,1.0,2010
Stacy Patterson,Rensselaer Polytechnic Institute,robotics,1.0,0.333333333333,2016
Jeff Trinkle,Rensselaer Polytechnic Institute,robotics,1.0,0.333333333333,2016
Linda G. Shapiro,University of Washington,robotics,1.0,0.5,1984
Robert M. Haralick,CUNY,robotics,1.0,0.5,1984
Peter K. Allen,Columbia University,robotics,2.0,0.75,1997
Karon E. MacLean,University of British Columbia,robotics,1.0,0.2,2013
Claire J. Tomlin,University of California - Berkeley,robotics,1.0,0.25,2009
John F. Canny,University of California - Berkeley,robotics,1.0,0.5,2000
Zack J. Butler,Rochester Institute of Technology,robotics,1.0,0.5,2007
Tomás Lozano-Pérez,Massachusetts Institute of Technology,robotics,1.0,0.5,2016
Christopher G. Atkeson,Carnegie Mellon University,robotics,2.0,0.833333333333,1986
Sven Koenig,University of Southern California,robotics,2.0,1.0,2002
Hong Zhang,University of Alberta,robotics,2.0,1.0,2007
Steven M. LaValle,University of Illinois at Urbana-Champaign,robotics,3.0,1.33333333333,2000
Jyh-Ming Lien,George Mason University,robotics,3.0,1.5,2011
Dezhen Song,Texas A&M University,robotics,4.0,1.25,2007
Joshua R. Smith,University of Washington,robotics,3.0,1.0,2012
Richard T. Vaughan,Simon Fraser University,robotics,1.0,0.25,2002
J. Kenneth Salisbury,Stanford University,robotics,1.0,0.2,2007
Guang-Zhong Yang,Imperial College London,robotics,4.0,1.17619047619,2011
David Meger,McGill University,robotics,1.0,0.25,2009
Ming C. Lin,University of North Carolina,robotics,2.0,0.533333333333,2002
Dinesh Manocha,University of North Carolina,robotics,1.0,0.333333333333,2002
Alois Knoll,TU Munich,robotics,2.0,0.833333333333,2002
Jur P. van den Berg,University of Utah,robotics,1.0,0.25,2011
Stephen J. Guy,University of Minnesota,robotics,1.0,0.25,2011
Gregory Dudek,McGill University,robotics,4.0,1.41025641026,2004
Daniel E. Koditschek,University of Pennsylvania,robotics,2.0,0.47619047619,2009
G. Stefano Sukhatme,University of Southern California,robotics,1.0,0.25,2010
Michiel van de Panne,University of British Columbia,robotics,2.0,1.0,2005
Hong Zhang,University of Alberta,robotics,6.0,2.83333333333,2006
Richard T. Vaughan,Simon Fraser University,robotics,1.0,0.5,2008
Kostas Alexis,University of Nevada,robotics,1.0,0.5,2012
Lynne E. Parker,University of Tennessee,robotics,2.0,1.0,2005
Gabor Fichtinger,Queen’s University,robotics,1.0,0.333333333333,2007
Shankar Sastry,University of California - Berkeley,robotics,1.0,0.25,2006
Dinesh Manocha,University of North Carolina,robotics,2.0,0.833333333333,2015
Christopher G. Atkeson,Carnegie Mellon University,robotics,2.0,0.583333333333,2015
George A. Bekey,University of Southern California,robotics,2.0,0.833333333333,1987
Ming C. Lin,University of North Carolina,robotics,1.0,0.333333333333,1995
Dinesh Manocha,University of North Carolina,robotics,1.0,0.333333333333,1995
Matthew T. Mason,Carnegie Mellon University,robotics,2.0,1.0,1993
Zhen Zhang,Ecole Normale Superieure,robotics,1.0,0.333333333333,2004
Michael A. Langston,University of Tennessee,robotics,1.0,0.5,1985
Sethu Vijayakumar,University of Edinburgh,robotics,2.0,0.4,2009
James J. Little,University of British Columbia,robotics,1.0,0.333333333333,1999
Michiel van de Panne,University of British Columbia,robotics,1.0,0.25,2000
Bud Mishra,New York University,robotics,1.0,0.5,1994
Andrea Lockerd Thomaz,Georgia Institute of Technology,robotics,2.0,0.4,2016
Alonzo Kelly,Carnegie Mellon University,robotics,2.0,1.0,2002
Radhika Nagpal,Harvard University,robotics,1.0,0.5,2009
Jan Peters 0001,TU Darmstadt,robotics,3.0,1.08333333333,2009
Mongi A. Abidi,University of Tennessee,robotics,1.0,0.2,2007
Jing Chen,Stony Brook University,robotics,2.0,0.666666666667,2016
Gerhard Neumann,TU Darmstadt,robotics,4.0,0.9,2014
Daniel Cremers,TU Munich,robotics,5.0,1.58333333333,2015
Manfred Huber,University of Texas at Arlington,robotics,1.0,0.333333333333,1996
Jeff Trinkle,Rensselaer Polytechnic Institute,robotics,2.0,0.666666666667,2013
Roderic A. Grupen,University of Massachusetts Amherst,robotics,5.0,1.78333333333,2002
Daniel D. Lee,University of Pennsylvania,robotics,1.0,0.333333333333,2008
David Hsu,National University of Singapore,robotics,2.0,0.583333333333,2016
Wee Sun Lee,National University of Singapore,robotics,2.0,0.583333333333,2016
Tucker R. Balch,Georgia Institute of Technology,robotics,2.0,0.833333333333,2001
Jeffrey C. Trinkle,Rensselaer Polytechnic Institute,robotics,2.0,0.833333333333,2001
Kenneth Y. Goldberg,University of California - Berkeley,robotics,2.0,0.366666666667,1999
Ian D. Reid 0001,University of Adelaide,robotics,1.0,0.5,2000
Jingjin Yu,Rutgers University,robotics,1.0,0.5,2011
Claude Sammut,UNSW,robotics,2.0,1.0,2012
Matteo Matteucci,Polytechnic University of Milan,robotics,1.0,0.333333333333,2007
Stephen Cameron,University of Oxford,robotics,1.0,1.0,1985
Evan Drumwright,George Washington University,robotics,1.0,0.333333333333,2004
Odest Chadwicke Jenkins,University of Michigan,robotics,1.0,0.333333333333,2004
Christopher Rasmussen,University of Delaware,robotics,1.0,1.0,2006
Roderic A. Grupen,University of Massachusetts Amherst,robotics,3.0,1.2,2000
Lydia Tapia,University of New Mexico,robotics,1.0,0.2,2005
Daniel E. Koditschek,University of Pennsylvania,robotics,3.0,1.03333333333,2004
John H. Reif,Duke University,robotics,1.0,0.333333333333,2001
David Meger,McGill University,robotics,1.0,0.333333333333,2016
Gregory Dudek,McGill University,robotics,4.0,1.5,2016
Alois Knoll,TU Munich,robotics,1.0,0.166666666667,2007
Laurent Itti,University of Southern California,robotics,1.0,0.5,2008
Francesco Amigoni,Polytechnic University of Milan,robotics,1.0,0.333333333333,2009
Nicola Gatti 0001,Polytechnic University of Milan,robotics,1.0,0.333333333333,2009
Marc Pollefeys,ETH Zurich,robotics,1.0,0.25,1998
William Whittaker,Carnegie Mellon University,robotics,1.0,0.2,2011
Jeffrey Lang,Massachusetts Institute of Technology,robotics,1.0,0.166666666667,2013
George A. Bekey,University of Southern California,robotics,1.0,0.5,1986
Gerd Hirzinger,TU Munich,robotics,6.0,1.95833333333,2005
Daniel D. Lee,University of Pennsylvania,robotics,1.0,0.166666666667,2009
Alonzo Kelly,Carnegie Mellon University,robotics,4.0,2.0,1997
Hao Jiang,Boston College,robotics,1.0,0.333333333333,2006
Alois Knoll,TU Munich,robotics,5.0,1.33333333333,2010
Andreas Krause 0001,ETH Zurich,robotics,1.0,0.333333333333,2016
Lydia E. Kavraki,Rice University,robotics,2.0,1.0,2011
Daniel E. Koditschek,University of Pennsylvania,robotics,1.0,0.5,1988
Kenneth Y. Goldberg,University of California - Berkeley,robotics,1.0,0.5,1993
Benjamin Kuipers,University of Michigan,robotics,1.0,0.333333333333,2005
Leslie Pack Kaelbling,Massachusetts Institute of Technology,robotics,1.0,0.5,2011
Tomás Lozano-Pérez,Massachusetts Institute of Technology,robotics,1.0,0.5,2011
Emma Brunskill,Carnegie Mellon University,robotics,1.0,0.5,2005
Kian Hsiang Low,National University of Singapore,robotics,1.0,0.333333333333,2002
Wee Kheng Leow,National University of Singapore,robotics,1.0,0.333333333333,2002
Odest Chadwicke Jenkins,University of Michigan,robotics,1.0,0.166666666667,2011
Jizhong Xiao,CUNY,robotics,3.0,1.0,2010
Peter Brass,CUNY,robotics,1.0,0.333333333333,2010
Zhigang Zhu,CUNY,robotics,1.0,0.333333333333,1996
Philippos Mordohai,Stevens Institute of Technology,robotics,1.0,0.333333333333,2013
Georgios E. Fainekos,Arizona State University,robotics,1.0,0.5,2013
Micha Sharir,Tel Aviv University,robotics,1.0,1.0,1987
Ronald S. Fearing,University of California - Berkeley,robotics,2.0,1.0,1993
Matthew T. Mason,Carnegie Mellon University,robotics,3.0,0.916666666667,2015
Paul E. I. Pounds,University of Queensland,robotics,2.0,0.75,2014
Subbarao Kambhampati,Arizona State University,robotics,2.0,0.533333333333,2014
Gabe Sibley,University of Colorado Boulder,robotics,1.0,0.25,2009
Kostas E. Bekris,Rutgers University,robotics,2.0,1.0,2010
Stefano Soatto,University of California - Los Angeles,robotics,2.0,0.583333333333,2015
Peter K. Allen,Columbia University,robotics,1.0,0.333333333333,2001
Jeff M. Phillips,University of Utah,robotics,1.0,0.333333333333,2004
Lydia E. Kavraki,Rice University,robotics,3.0,1.16666666667,2004
Alin Albu-Schäffer,TU Munich,robotics,1.0,0.333333333333,2005
Ronald S. Fearing,University of California - Berkeley,robotics,6.0,1.78333333333,2013
James A. Hendler,Rensselaer Polytechnic Institute,robotics,1.0,0.333333333333,1995
Howie Choset,Carnegie Mellon University,robotics,3.0,1.08333333333,2000
Jingjin Yu,Rutgers University,robotics,2.0,0.833333333333,2013
Heni Ben Amor,Arizona State University,robotics,2.0,0.4,2016
Nancy M. Amato,Texas A&M University,robotics,2.0,0.833333333333,1999
Daniel Cremers,TU Munich,robotics,5.0,1.15,2012
Scott Kuindersma,Harvard University,robotics,1.0,0.333333333333,2014
Russ Tedrake,Massachusetts Institute of Technology,robotics,1.0,0.333333333333,2014
Fabio T. Ramos,University of Sydney,robotics,1.0,0.5,2005
Theodore Raphan,CUNY,robotics,1.0,0.2,2009
Lynne E. Parker,University of Tennessee,robotics,1.0,0.25,2016
Lydia Tapia,University of New Mexico,robotics,2.0,0.45,2013
Seth Copen Goldstein,Carnegie Mellon University,robotics,2.0,0.45,2006
Georgios E. Fainekos,Arizona State University,robotics,2.0,0.833333333333,2012
Sriram Sankaranarayanan,University of Colorado Boulder,robotics,1.0,0.333333333333,2012
Nora Ayanian,University of Southern California,robotics,1.0,0.333333333333,2013
Bruce Randall Donald,Duke University,robotics,1.0,0.25,1997
Camillo J. Taylor,University of Pennsylvania,robotics,2.0,0.333333333333,2001
Thomas M. Howard,University of Rochester,robotics,2.0,0.416666666667,2015
A. Aldo Faisal,Imperial College London,robotics,1.0,0.333333333333,2016
Yiannis Aloimonos,University of Maryland - College Park,robotics,1.0,0.333333333333,2016
Deborah Estrin,Cornell University,robotics,1.0,0.166666666667,2004
Claire J. Tomlin,University of California - Berkeley,robotics,2.0,0.583333333333,2014
Nancy M. Amato,Texas A&M University,robotics,1.0,0.5,2010
Gerd Hirzinger,TU Munich,robotics,6.0,2.66666666667,1997
Oussama Khatib,Stanford University,robotics,1.0,0.333333333333,1995
Gershon Elber,Technion - Israel Institute of Technology,robotics,1.0,0.2,2006
J. Andrew Bagnell,Carnegie Mellon University,robotics,1.0,0.333333333333,2007
Robert M. Haralick,CUNY,robotics,1.0,1.0,1985
Stelian Coros,Carnegie Mellon University,robotics,1.0,0.142857142857,2014
Jean Ponce,Ecole Normale Superieure,robotics,2.0,1.0,1987
Lynne E. Parker,University of Tennessee,robotics,2.0,1.0,2011
Pierre Dillenbourg,EPFL,robotics,2.0,0.533333333333,2016
Oussama Khatib,Stanford University,robotics,1.0,0.25,2010
Ioannis Stamos,CUNY,robotics,1.0,0.166666666667,2003
Jur van den Berg,University of Utah,robotics,2.0,0.375,2010
Kenneth Y. Goldberg,University of California - Berkeley,robotics,1.0,0.125,2010
Jean Ponce,Ecole Normale Superieure,robotics,1.0,0.25,1999
David J. Kriegman,University of California - San Diego,robotics,1.0,0.25,1999
John Keyser,Texas A&M University,robotics,1.0,0.2,2000
Robert Platt Jr.,Northeastern University,robotics,2.0,0.533333333333,2003
Michael A. Erdmann,Carnegie Mellon University,robotics,2.0,1.0,1996
Maja J. Mataric,University of Southern California,robotics,1.0,0.5,2014
Xenofon D. Koutsoukos,Vanderbilt University,robotics,1.0,0.333333333333,2006
Gautam Biswas,Vanderbilt University,robotics,1.0,0.333333333333,2006
Pradeep K. Khosla,University of California - San Diego,robotics,2.0,0.666666666667,1996
Peter K. Allen,Columbia University,robotics,3.0,0.7,2011
Emanuel Todorov,University of Washington,robotics,1.0,0.333333333333,2013
Nikolaos Papanikolopoulos,University of Minnesota,robotics,1.0,0.25,1999
Devin J. Balkcom,Dartmouth College,robotics,3.0,1.5,2016
Yu Sun,University of South Florida,robotics,3.0,0.790909090909,2014
Michael S. Branicky,University of Kansas,robotics,1.0,0.333333333333,2007
Elisha Sacks,Purdue University,robotics,2.0,1.5,2001
Roderic A. Grupen,University of Massachusetts Amherst,robotics,2.0,0.583333333333,2003
Yadati Narahari,IISc Bangalore,robotics,2.0,0.666666666667,2003
Gabe Sibley,University of Colorado Boulder,robotics,1.0,0.333333333333,2012
Stanley C. Ahalt,University of North Carolina,robotics,1.0,0.25,2001
Trevor Darrell,University of California - Berkeley,robotics,3.0,0.575,2011
Junaed Sattar,University of Minnesota,robotics,1.0,0.5,2006
Jana Kosecka,George Mason University,robotics,1.0,0.5,2012
Matthew Turk,University of California - Santa Barbara,robotics,1.0,0.25,1987
Tomás Lozano-Pérez,Massachusetts Institute of Technology,robotics,1.0,0.5,1984
Peter Kazanzides,Johns Hopkins University,robotics,4.0,1.16666666667,2015
Maja J. Mataric,University of Southern California,robotics,1.0,0.5,2000
James M. Rehg,Georgia Institute of Technology,robotics,2.0,0.45,2015
Nancy M. Amato,Texas A&M University,robotics,4.0,1.25,2007
Andrew Calway,University of Bristol,robotics,2.0,0.833333333333,2015
Georgios E. Fainekos,Arizona State University,robotics,1.0,1.0,2011
Ross A. Knepper,Cornell University,robotics,1.0,0.111111111111,1999
Yang Liu,University of Texas at Dallas,robotics,1.0,0.333333333333,2015
Hong Zhang,University of Alberta,robotics,4.0,1.11666666667,2015
Sanmay Das,Washington University in St. Louis,robotics,1.0,0.166666666667,2010
Roderic A. Grupen,University of Massachusetts Amherst,robotics,1.0,0.333333333333,2006
John F. Canny,University of California - Berkeley,robotics,2.0,0.833333333333,2001
Alois Knoll,TU Munich,robotics,1.0,0.333333333333,1998
Ashutosh Saxena,Cornell University,robotics,4.0,1.36666666667,2009
Peter Brass,CUNY,robotics,1.0,0.25,2009
Jizhong Xiao,CUNY,robotics,3.0,0.833333333333,2009
Dezhen Song,Texas A&M University,robotics,2.0,0.666666666667,2015
Huan Liu,Arizona State University,robotics,1.0,0.2,2014
Seth J. Teller,Massachusetts Institute of Technology,robotics,1.0,0.166666666667,2003
Christopher G. Atkeson,Carnegie Mellon University,robotics,4.0,1.25,2003
Su-Lin Lee,Imperial College London,robotics,2.0,0.533333333333,2016
Chaoli Wang,University of Notre Dame,robotics,1.0,1.0,2011
Nadia Berthouze,University College London,robotics,1.0,0.25,2010
Simon J. Julier,University College London,robotics,1.0,0.25,2010
Aristides A. G. Requicha,University of Southern California,robotics,1.0,0.5,1994
Peter Stone,University of Texas at Austin,robotics,2.0,0.533333333333,2010
Takeo Kanade,Carnegie Mellon University,robotics,4.0,1.08333333333,1992
Shankar Sastry,University of California - Berkeley,robotics,2.0,0.666666666667,1988
Tucker R. Balch,Georgia Institute of Technology,robotics,2.0,0.833333333333,2002
Jesse Hoey,University of Waterloo,robotics,1.0,0.142857142857,2002
James J. Little,University of British Columbia,robotics,3.0,0.809523809524,2002
Jizhong Xiao,CUNY,robotics,1.0,0.5,2008
Alonzo Kelly,Carnegie Mellon University,robotics,1.0,0.5,2015
Ehud Rivlin,Technion - Israel Institute of Technology,robotics,1.0,0.25,2011
Jeff Trinkle,Rensselaer Polytechnic Institute,robotics,2.0,0.583333333333,2015
Takeo Kanade,Carnegie Mellon University,robotics,1.0,0.5,2013
Odest Chadwicke Jenkins,University of Michigan,robotics,1.0,0.5,2007
Scott Kuindersma,Harvard University,robotics,1.0,0.333333333333,2016
Russ Tedrake,Massachusetts Institute of Technology,robotics,2.0,0.833333333333,2016
Anup Basu,University of Alberta,robotics,1.0,0.333333333333,1998
Oussama Khatib,Stanford University,robotics,3.0,1.16666666667,2003
Dimitris Samaras,Stony Brook University,robotics,1.0,0.333333333333,2006
Daniel E. Koditschek,University of Pennsylvania,robotics,1.0,0.5,1994
Sudeep Sarkar,University of South Florida,robotics,1.0,0.25,2013
Hamid Reza Chitsaz,Colorado State University,robotics,1.0,0.333333333333,2004
Stelian Coros,Carnegie Mellon University,robotics,1.0,0.166666666667,2013
Manfred Huber,University of Texas at Arlington,robotics,2.0,0.7,2009
Alois Knoll,TU Munich,robotics,6.0,1.18333333333,2012
Gregory D. Hager,Johns Hopkins University,robotics,1.0,0.5,2000
Gregory D. Hager,Johns Hopkins University,robotics,1.0,0.25,2012
Gregory S. Fischer,Worcester Polytechnic Institute,robotics,1.0,0.333333333333,2009
Stephen Cameron,University of Oxford,robotics,1.0,0.5,2007
Katherine J. Kuchenbecker,University of Pennsylvania,robotics,1.0,0.5,2006
Marc Pollefeys,ETH Zurich,robotics,1.0,0.25,2000
Ovidiu Daescu,University of Texas at Dallas,robotics,1.0,0.333333333333,2003
Kang G. Shin,University of Michigan,robotics,1.0,0.5,1986
Dan Halperin,Tel Aviv University,robotics,1.0,0.5,2014
Robert E. Mahony,Australian National University,robotics,2.0,0.583333333333,2007
Martin Jägersand,University of Alberta,robotics,4.0,1.33333333333,2010
Pankaj K. Agarwal,Duke University,robotics,1.0,0.333333333333,2001
Marc Pollefeys,ETH Zurich,robotics,6.0,1.75,2013
John Kenneth Salisbury Jr.,Stanford University,robotics,1.0,1.0,1984
Pieter Abbeel,University of California - Berkeley,robotics,3.0,0.783333333333,2012
Kian Hsiang Low,National University of Singapore,robotics,1.0,0.333333333333,2003
Wee Kheng Leow,National University of Singapore,robotics,1.0,0.333333333333,2003
Robert E. Mahony,Australian National University,robotics,2.0,0.75,2014
Surya P. N. Singh,University of Queensland,robotics,3.0,0.916666666667,2011
Fabio T. Ramos,University of Sydney,robotics,1.0,0.25,2011
