"author","coauthor","year","area"
Ramon Canal,Antonio González 0001,2000,hpc
Amit Jain,Kang G. Shin,2003,mobile
Amit Jain,David Blaauw,2005,da
Sanjoy K. Baruah,Aloysius K. Mok,1997,bed
Sanjoy K. Baruah,C. Greg Plaxton,1993,act
Sanjoy K. Baruah,Jayant R. Haritsa,1994,bed
Sanjoy K. Baruah,Dennis E. Shasha,1991,act
Sanjoy K. Baruah,Bhubaneswar Mishra,1991,act
Sanjoy K. Baruah,Bud Mishra,1991,bed
Sanjoy K. Baruah,Dennis E. Shasha,1991,bed
Sanjoy K. Baruah,Arvind Easwaran,2015,bed
Sanjoy K. Baruah,Jayant R. Haritsa,1993,metrics
Sanjoy K. Baruah,Kevin Jeffay,1999,bed
Sanjoy K. Baruah,James H. Anderson,1999,bed
Sanjoy K. Baruah,Kevin Jeffay,1996,bed
Sanjoy K. Baruah,Ion Stoica,1996,bed
Sanjoy K. Baruah,C. Greg Plaxton,1996,bed
Sanjoy K. Baruah,Aloysius K. Mok,1990,bed
Keren Censor,Hagit Attiya,2007,act
Keren Censor,James Aspnes,2009,act
Weifa Liang,Xuemin Lin,2013,mod
Weifa Liang,Lijun Chang,2013,mod
Edward A. Lee,Alberto L. Sangiovanni-Vincentelli,1996,da
Edward A. Lee,Alois Knoll,2010,bed
Edward A. Lee,Aviral Shrivastava,2015,bed
Edward A. Lee,Thomas A. Henzinger,2009,bed
Chengyu Song,Taesoo Kim,2015,sec
Chengyu Song,Wenke Lee,2015,sec
Chengyu Song,Byoungyoung Lee,2015,sec
Chengyu Song,Wenke Lee,2014,sec
Chengyu Song,Alexandra Boldyreva,2014,sec
Chengyu Song,Taesoo Kim,2015,ops
Chengyu Song,Byoungyoung Lee,2015,ops
Chengyu Song,Dawn Song,2015,comm
Chengyu Song,Taesoo Kim,2016,sec
Chengyu Song,Wenke Lee,2016,sec
Chengyu Song,Byoungyoung Lee,2016,sec
George N. Rouskas,Mostafa H. Ammar,1991,comm
George N. Rouskas,Harry G. Perros,1998,metrics
George N. Rouskas,Mostafa H. Ammar,1993,comm
George N. Rouskas,Injong Rhee,1999,comm
George N. Rouskas,Harry G. Perros,1999,comm
George N. Rouskas,Khaled Harfoush,2009,hpc
George N. Rouskas,Mostafa H. Ammar,1994,comm
George N. Rouskas,Rudra Dutta,2001,metrics
George N. Rouskas,Lisong Xu,2003,comm
George N. Rouskas,Harry G. Perros,2003,comm
George N. Rouskas,Harry G. Perros,1997,comm
Hubert E. Dunsmore,Scott N. Woodfield,1981,soft
Amol Deshpande,Lise Getoor,2012,mod
Amol Deshpande,Samir Khuller,2010,comm
Amol Deshpande,Barna Saha,2009,mod
Amol Deshpande,Carlos Guestrin,2004,mod
Amol Deshpande,Joseph M. Hellerstein,2004,mod
Amol Deshpande,Samuel Madden,2004,mod
Amol Deshpande,Ashwin Machanavajjhala,2013,mod
Amol Deshpande,Devorah Kletenik,2014,act
Amol Deshpande,Lisa Hellerstein,2014,act
Amol Deshpande,Lise Getoor,2010,mod
Amol Deshpande,Phillip B. Gibbons,2003,mod
Amol Deshpande,Srinivasan Seshan,2003,mod
Amol Deshpande,Samuel Madden,2016,mod
Amol Deshpande,Aaron J. Elmore,2016,mod
Amol Deshpande,Aditya G. Parameswaran,2016,mod
Amol Deshpande,Samuel Madden,2006,mod
Amol Deshpande,Aditya G. Parameswaran,2015,mod
Amol Deshpande,Lise Getoor,2008,mod
Emerson R. Murphy-Hill,Felienne Hermans,2015,soft
Emerson R. Murphy-Hill,Gail C. Murphy,2012,soft
Emerson R. Murphy-Hill,Gail C. Murphy,2010,soft
Emerson R. Murphy-Hill,Thomas Fritz,2010,soft
Emerson R. Murphy-Hill,Chris Parnin,2009,soft
Emerson R. Murphy-Hill,Sarah Heckman,2016,soft
Mainak Chaudhuri,Daehyun Kim,2002,hpc
Mainak Chaudhuri,Mark Heinrich,2002,hpc
Mainak Chaudhuri,Mark Heinrich,2004,arch
Cormac Flanagan,Matthew Flatt,1996,plan
Cormac Flanagan,Matthias Felleisen,1996,plan
Cormac Flanagan,Stephanie Weirich,1996,plan
Cormac Flanagan,Shriram Krishnamurthi,1996,plan
Cormac Flanagan,Jean Yang,2016,plan
Cormac Flanagan,Armando Solar-Lezama,2016,plan
Cormac Flanagan,Stephen Chong,2016,plan
Cormac Flanagan,Matthias Felleisen,2011,plan
Cormac Flanagan,Robert Bruce Findler,2011,plan
Cormac Flanagan,Matthias Felleisen,1993,plan
Cormac Flanagan,Amr Sabry,1993,plan
Cormac Flanagan,Sanjit A. Seshia,2002,log
Cormac Flanagan,Xinming Ou,2003,log
Cormac Flanagan,Yannis Smaragdakis,2012,plan
Cormac Flanagan,Matthias Felleisen,1995,plan
Cormac Flanagan,Matthias Felleisen,1997,na
Roded Sharan,Richard M. Karp,2005,bio
Roded Sharan,Ron Shamir,2004,bio
Roded Sharan,Richard M. Karp,2004,bio
Roded Sharan,Ron Shamir,2000,bio
Roded Sharan,Michael I. Jordan,2004,mlmining
Roded Sharan,Eric P. Xing,2004,mlmining
Roded Sharan,Richard M. Karp,2012,bio
Roded Sharan,Richard M. Karp,2009,bio
Roded Sharan,Ron Shamir,2009,bio
Roded Sharan,Nir Yosef,2007,bio
Roded Sharan,Ron Y. Pinter,2007,bio
Roded Sharan,Vineet Bafna,2007,bio
Roded Sharan,Tomer Shlomi,2007,bio
Roded Sharan,Eytan Ruppin,2007,bio
Roded Sharan,Vineet Bafna,2008,bio
Roded Sharan,Ron Shamir,2003,bio
Roded Sharan,Ron Shamir,1998,act
Roded Sharan,Ron Shamir,2002,bio
Roded Sharan,Eytan Ruppin,2015,bio
Nelson L. Max,Roger Crawfis,1994,vis
Nelson L. Max,Bernd Hamann,2003,vis
Nelson L. Max,Roger Crawfis,1993,vis
Nelson L. Max,Roger Crawfis,1992,vis
Nelson L. Max,Cláudio T. Silva,2005,vis
Nelson L. Max,Roger Crawfis,1993,hpc
Nelson L. Max,Cláudio T. Silva,2004,vis
John V. Carlis,Daniel F. Keefe,2014,vis
Stan Zdonik,Samuel Madden,2015,mod
Stan Zdonik,Ugur Çetintemel,2015,mod
Stan Zdonik,Andrew Pavlo,2015,mod
Stan Zdonik,Tim Kraska,2015,mod
Wang-Chiew Tan,Phokion G. Kolaitis,2013,mod
Wang-Chiew Tan,Wynne Hsu,2015,mod
Wang-Chiew Tan,Mong-Li Lee,2015,mod
Luca Cardelli,Gordon D. Plotkin,1994,log
Luca Cardelli,Andrew D. Gordon,1999,plan
Luca Cardelli,Gordon D. Plotkin,1989,plan
Luca Cardelli,Benjamin C. Pierce,1989,plan
Luca Cardelli,Andrew D. Gordon,2000,plan
Narain H. Gehani,Krithi Ramamritham,1994,mod
Narain H. Gehani,H. V. Jagadish,1994,mod
Narain H. Gehani,Ingemar J. Cox,1987,robotics
Narain H. Gehani,H. V. Jagadish,1992,mod
Narain H. Gehani,Oded Shmueli,1992,mod
Narain H. Gehani,H. V. Jagadish,1991,mod
Garth A. Gibson,Christos Faloutsos,1999,hpc
Garth A. Gibson,Randy H. Katz,1988,mod
Garth A. Gibson,Eric P. Xing,2014,mlmining
Garth A. Gibson,Christos Faloutsos,1998,mod
Garth A. Gibson,Bianca Schroeder,2006,hpc
Garth A. Gibson,Eric P. Xing,2016,ops
Garth A. Gibson,Randal E. Bryant,2013,ops
Garth A. Gibson,Junfeng Yang,2013,ops
Garth A. Gibson,Hao Li,2013,ops
Garth A. Gibson,Kai Li,1996,ops
Garth A. Gibson,Edward W. Felten,1996,ops
Garth A. Gibson,Anna R. Karlin,1996,ops
Garth A. Gibson,Richard M. Karp,1989,arch
Garth A. Gibson,Lisa Hellerstein,1989,arch
Garth A. Gibson,Randy H. Katz,1989,arch
Garth A. Gibson,Peter M. Chen,1994,arch
Garth A. Gibson,John H. Hartman,1994,arch
Garth A. Gibson,Randy H. Katz,1994,arch
Garth A. Gibson,Ethan L. Miller,1994,arch
Garth A. Gibson,Srinivasan Seshan,1994,arch
Garth A. Gibson,Phillip B. Gibbons,2013,mlmining
Garth A. Gibson,Eric P. Xing,2013,mlmining
Garth A. Gibson,Eric P. Xing,2015,ai
Garth A. Gibson,Randy H. Katz,1986,arch
Garth A. Gibson,Mark D. Hill,1986,arch
Garth A. Gibson,David A. Wood,1986,arch
Garth A. Gibson,David G. Andersen,2009,comm
Garth A. Gibson,Phillip B. Gibbons,2014,ops
Garth A. Gibson,Eric P. Xing,2014,ops
Garth A. Gibson,Peter M. Chen,1990,metrics
Garth A. Gibson,Randy H. Katz,1990,metrics
Shmuel T. Klein,Yehoshua Perl,1985,ir
Tadayoshi Kohno,Franziska Roesner,2015,mobile
Tadayoshi Kohno,Franziska Roesner,2014,sec
Tadayoshi Kohno,Franziska Roesner,2012,sec
Tadayoshi Kohno,Dan S. Wallach,2012,sec
Tadayoshi Kohno,Mihir Bellare,2004,crypt
Tadayoshi Kohno,Cynthia Matuszek,2009,chi
Tadayoshi Kohno,Joshua R. Smith,2009,chi
Tadayoshi Kohno,James Fogarty,2009,chi
Tadayoshi Kohno,Tamara Denning,2009,chi
Tadayoshi Kohno,Joshua R. Smith,2008,sec
Tadayoshi Kohno,Kevin Fu,2008,sec
Tadayoshi Kohno,Thomas Ristenpart,2008,sec
Tadayoshi Kohno,Arvind Krishnamurthy,2008,sec
Tadayoshi Kohno,Roxana Geambasu,2011,ops
Tadayoshi Kohno,Henry M. Levy,2011,ops
Tadayoshi Kohno,Franziska Roesner,2013,sec
Tadayoshi Kohno,Tamara Denning,2013,sec
Tadayoshi Kohno,Arvind Krishnamurthy,2016,ops
Tadayoshi Kohno,Thomas E. Anderson,2016,ops
Tadayoshi Kohno,Brian Curless,2010,vision
Tadayoshi Kohno,Roxana Geambasu,2009,sec
Tadayoshi Kohno,Ari Juels,2009,sec
Tadayoshi Kohno,Henry M. Levy,2009,sec
Tadayoshi Kohno,Roxana Geambasu,2010,ops
Tadayoshi Kohno,Henry M. Levy,2010,ops
Tadayoshi Kohno,Arvind Krishnamurthy,2010,ops
Tadayoshi Kohno,Mihir Bellare,2003,crypt
Tadayoshi Kohno,Tamara Denning,2014,chi
Tadayoshi Kohno,Franziska Roesner,2012,chi
Tadayoshi Kohno,James Fogarty,2012,chi
Tadayoshi Kohno,Haitham Hassanieh,2015,comm
Tadayoshi Kohno,Dina Katabi,2015,comm
Tadayoshi Kohno,Franziska Roesner,2012,comm
Tadayoshi Kohno,Victor Shoup,2006,sec
Tadayoshi Kohno,David Wagner,2006,sec
Tadayoshi Kohno,Mihir Bellare,2006,sec
Tadayoshi Kohno,Damon McCoy,2008,mobile
Tadayoshi Kohno,Srinivasan Seshan,2008,mobile
Tadayoshi Kohno,Shwetak N. Patel,2011,sec
Tadayoshi Kohno,Stefan Savage,2010,sec
Tadayoshi Kohno,Shwetak Patel,2010,sec
Tadayoshi Kohno,Franziska Roesner,2010,sec
Tadayoshi Kohno,Hovav Shacham,2010,sec
Tadayoshi Kohno,Stephen Checkoway,2010,sec
Tadayoshi Kohno,Damon McCoy,2010,sec
Tadayoshi Kohno,Franziska Roesner,2016,sec
Tadayoshi Kohno,Alan Borning,2010,chi
Tadayoshi Kohno,Tamara Denning,2010,chi
Tadayoshi Kohno,Michel Abdalla,2005,crypt
Tadayoshi Kohno,Mihir Bellare,2005,crypt
Tadayoshi Kohno,Shwetak N. Patel,2016,chi
Tadayoshi Kohno,Mihir Bellare,2002,sec
Yannis Smaragdakis,David Van Horn,2010,plan
Yannis Smaragdakis,Eli Tilevich,2003,soft
Yannis Smaragdakis,Ondrej Lhoták,2011,plan
Yannis Smaragdakis,Christoph Csallner,2007,soft
Yannis Smaragdakis,Christoph Csallner,2005,soft
Yannis Smaragdakis,Eli Tilevich,2005,soft
Yannis Smaragdakis,Christoph Csallner,2008,soft
Yannis Smaragdakis,Cormac Flanagan,2012,plan
Yannis Smaragdakis,Michal Young,2013,soft
Yannis Smaragdakis,Christoph Csallner,2013,soft
Lila Kari,Leonard M. Adleman,2002,act
Lila Kari,David Doty,2011,act
Jan Treur,Mark Hoogendoorn,2011,ai
Jan Treur,Catholijn M. Jonker,2001,ai
Jan Treur,Tibor Bosse,2007,ai
Craig Putnam,Arjen K. Lenstra,2000,crypt
Craig Putnam,Brian Murphy,2000,crypt
Miron Livny,Michael J. Carey,1989,mod
Miron Livny,Barton P. Miller,1999,hpc
Miron Livny,Remzi H. Arpaci-Dusseau,2004,comm
Miron Livny,Douglas Thain,2004,comm
Miron Livny,Andrea C. Arpaci-Dusseau,2004,comm
Miron Livny,Yannis E. Ioannidis,1996,mod
Miron Livny,Michael J. Carey,1996,mod
Miron Livny,Michael J. Carey,1988,mod
Miron Livny,Michael J. Carey,1991,bed
Miron Livny,Jayant R. Haritsa,1991,bed
Miron Livny,Mark Silberstein,2006,hpc
Miron Livny,Dan Geiger,2006,hpc
Miron Livny,Assaf Schuster,2006,hpc
Miron Livny,Yannis E. Ioannidis,1995,mod
Miron Livny,Remzi H. Arpaci-Dusseau,2003,hpc
Miron Livny,Douglas Thain,2003,hpc
Miron Livny,Andrea C. Arpaci-Dusseau,2003,hpc
Miron Livny,Barton P. Miller,2003,hpc
Miron Livny,Douglas Thain,2000,hpc
Miron Livny,Alexandru Iosup,2007,hpc
Miron Livny,Dick H. J. Epema,2007,hpc
Miron Livny,Michael J. Carey,1994,mod
Miron Livny,Michael J. Carey,1992,bed
Miron Livny,Remzi H. Arpaci-Dusseau,2001,hpc
Miron Livny,Douglas Thain,2001,hpc
Miron Livny,Andrea C. Arpaci-Dusseau,2001,hpc
Miron Livny,Michael J. Franklin,1991,mod
Miron Livny,Michael J. Carey,1991,mod
Miron Livny,Michael J. Franklin,1993,mod
Miron Livny,Michael J. Carey,1993,mod
Miron Livny,Michael J. Carey,1985,mod
Miron Livny,Remzi H. Arpaci-Dusseau,2002,hpc
Miron Livny,Douglas Thain,2002,hpc
Miron Livny,Andrea C. Arpaci-Dusseau,2002,hpc
Miron Livny,Michael J. Carey,1990,mod
Miron Livny,Michael J. Franklin,1992,mod
Miron Livny,Michael J. Carey,1992,mod
Miron Livny,Michael J. Carey,1990,bed
Miron Livny,Jayant R. Haritsa,1990,bed
Wai-Tat Fu,Wayne D. Gray,2001,chi
Wai-Tat Fu,Brian P. Bailey,2014,chi
Wai-Tat Fu,Brian P. Bailey,2012,chi
Wai-Tat Fu,Karrie Karahalios,2016,chi
George Bebis,Mircea Nicolescu,2007,vision
George Bebis,Niels da Vitoria Lobo,1995,vision
George Bebis,Niels da Vitoria Lobo,1998,vision
George Bebis,Mubarak Shah,1998,vision
George Bebis,Eelke Folmer,2013,chi
Nadia Berthouze,Simon J. Julier,2010,robotics
Lodewyk F. A. Wessels,Marcel J. T. Reinders,2005,bio
Lodewyk F. A. Wessels,Marcel J. T. Reinders,2000,bio
Lodewyk F. A. Wessels,Marcel J. T. Reinders,2009,bio
Lodewyk F. A. Wessels,Marcel J. T. Reinders,2008,bio
Lodewyk F. A. Wessels,Jaap Heringa,2015,bio
Farhad Kamangar,Heng Huang,2011,mlmining
Farhad Kamangar,Chris H. Q. Ding,2011,mlmining
Farhad Kamangar,Heng Huang,2011,vision
Jürgen Dingel,T. C. Nicholas Graham,2008,soft
David K. Gifford,M. Frans Kaashoek,1995,ops
David K. Gifford,Anthony D. Joseph,1995,ops
David K. Gifford,Tommi S. Jaakkola,2003,bio
David K. Gifford,Nathan Srebro,2003,bio
David K. Gifford,Erik D. Demaine,2003,bio
David K. Gifford,Ziv Bar-Joseph,2003,bio
David K. Gifford,Tommi S. Jaakkola,2010,bio
David K. Gifford,Alex C. Snoeren,2001,ops
David K. Gifford,Tommi S. Jaakkola,2016,mlmining
David K. Gifford,Tommi S. Jaakkola,2012,bio
David K. Gifford,M. Frans Kaashoek,2000,ops
David K. Gifford,Ziv Bar-Joseph,2005,mlmining
David K. Gifford,Bonnie Berger,2005,mlmining
David K. Gifford,Tommi S. Jaakkola,2002,bio
David K. Gifford,Ziv Bar-Joseph,2002,bio
David K. Gifford,Ron Weiss,1997,ir
Kurt Luther,Norman M. Sadeh,2014,chi
Kurt Luther,Patrick Gage Kelley,2014,chi
Kien A. Hua,Sheau-Dong Lang,2006,mod
Sabine Süsstrunk,Pascal Fua,2009,vision
David Starobinski,Moshe Sidi,1996,comm
David Starobinski,Moshe Sidi,1999,comm
Noam Nisan,Hu Fu,2012,act
Noam Nisan,Tim Roughgarden,2012,act
Noam Nisan,Robert Kleinberg,2012,act
Noam Nisan,David Zuckerman,1993,act
Noam Nisan,Dorit Aharonov,1998,act
Noam Nisan,Benny Pinkas,2008,sec
Noam Nisan,Michael Schapira,2006,act
Noam Nisan,Mario Szegedy,1992,act
Noam Nisan,Endre Szemerédi,1992,act
Noam Nisan,Shmuel Safra,1995,act
Noam Nisan,Amnon Ta-Shma,1995,act
Noam Nisan,Yishay Mansour,1990,act
Noam Nisan,Lance Fortnow,1990,act
Noam Nisan,Nathan Linial,1990,act
Noam Nisan,Benny Pinkas,2004,sec
Noam Nisan,Michael Schapira,2011,hpc
Noam Nisan,Aviv Zohar,2011,hpc
Noam Nisan,Gregory Valiant,2011,hpc
Noam Nisan,Michael Schapira,2005,act
Noam Nisan,Rafail Ostrovsky,2015,act
Noam Nisan,Noga Alon,2015,act
Noam Nisan,Yishay Mansour,1994,act
Noam Nisan,Russell Impagliazzo,1994,act
Noam Nisan,Steven Rudich,1994,act
Noam Nisan,Nathan Linial,1994,act
Noam Nisan,Danny Dolev,1994,act
Noam Nisan,László Babai,1989,act
Noam Nisan,Mario Szegedy,1989,act
Noam Nisan,Yishay Mansour,1989,act
Noam Nisan,Nathan Linial,1989,act
Olgica Milenkovic,Jian Ma,2016,bio
Alfonso Fuggetta,Elisabetta Di Nitto,1998,soft
Chris Harrison,Scott E. Hudson,2015,chi
Chris Harrison,Walter S. Lasecki,2015,chi
Chris Harrison,Jeffrey P. Bigham,2015,chi
Chris Harrison,Laxmikant V. Kalé,2011,hpc
Chris Harrison,Scott E. Hudson,2013,chi
Chris Harrison,Scott E. Hudson,2014,chi
Chris Harrison,Jennifer Mankoff,2014,chi
Chris Harrison,Scott E. Hudson,2012,chi
Chris Harrison,Scott E. Hudson,2011,chi
Chris Harrison,Jodi Forlizzi,2011,chi
Chris Harrison,Scott E. Hudson,2009,chi
Edith Elkind,Amit Sahai,2004,act
Edith Elkind,Michael Wooldridge,2008,ai
Edith Elkind,Leslie Ann Goldberg,2008,ai
Edith Elkind,Paul W. Goldberg,2008,ai
Edith Elkind,Vincent Conitzer,2015,ai
Edith Elkind,Toby Walsh,2015,ai
Edith Elkind,Yair Zick,2013,ai
Edith Elkind,Jeffrey S. Rosenschein,2013,ai
Edith Elkind,Michael Wooldridge,2007,ai
Edith Elkind,Leslie Ann Goldberg,2007,ai
Edith Elkind,Paul W. Goldberg,2007,ai
Edith Elkind,Yair Zick,2012,ai
Edith Elkind,Michael Wooldridge,2011,ai
Edith Elkind,Tomasz P. Michalak,2011,ai
Edith Elkind,Yair Zick,2011,ai
Edith Elkind,Mark C. Wilson,2011,ai
Edith Elkind,John Augustine,2011,ai
Edith Elkind,Abdallah Saffidine,2011,ai
Edith Elkind,Jacek Sroka,2011,ai
Edith Elkind,Nicholas R. Jennings,2011,ai
Edith Elkind,Nicholas R. Jennings,2009,ai
Edith Elkind,Nicholas R. Jennings,2016,ai
Hemanta K. Maji,Mike Rosulek,2010,hpc
Hemanta K. Maji,Manoj Prabhakaran,2010,hpc
Hemanta K. Maji,Yuval Ishai,2015,crypt
Hemanta K. Maji,Manoj Prabhakaran,2015,crypt
Hemanta K. Maji,Jean-Sébastien Coron,2015,crypt
Hemanta K. Maji,Amit Sahai,2015,crypt
Hemanta K. Maji,Omkant Pandey,2015,crypt
Hemanta K. Maji,Manoj Prabhakaran,2010,act
Hemanta K. Maji,Amit Sahai,2010,act
Hemanta K. Maji,Manoj Prabhakaran,2014,crypt
Hemanta K. Maji,Amit Sahai,2014,crypt
Hemanta K. Maji,Ninghui Li,2016,sec
Hemanta K. Maji,Mike Rosulek,2010,crypt
Hemanta K. Maji,Manoj Prabhakaran,2010,crypt
Hemanta K. Maji,Manoj Prabhakaran,2016,crypt
Hemanta K. Maji,Amit Sahai,2016,crypt
Hemanta K. Maji,Alexander A. Sherstov,2016,act
Hemanta K. Maji,Vipul Goyal,2016,act
Hemanta K. Maji,Yuval Ishai,2016,act
Hemanta K. Maji,Amit Sahai,2016,act
Hemanta K. Maji,Vipul Goyal,2011,act
Karl Crary,J. Gregory Morrisett,1999,plan
Karl Crary,David Walker,1999,plan
Karl Crary,Stephanie Weirich,2000,plan
Karl Crary,David Walker,1998,plan
Karl Crary,J. Gregory Morrisett,1998,plan
Karl Crary,Frank Pfenning,2004,log
Karl Crary,Frank Pfenning,2003,plan
Karl Crary,Derek Dreyer,2003,plan
Davi Geiger,Michael Werman,2014,vision
Salil P. Vadhan,Omer Reingold,2002,act
Salil P. Vadhan,Eli Ben-Sasson,2004,act
Salil P. Vadhan,Madhu Sudan,2004,act
Salil P. Vadhan,Emanuele Viola,2004,act
Salil P. Vadhan,Amit Sahai,1997,act
Salil P. Vadhan,Boaz Barak,2001,crypt
Salil P. Vadhan,Russell Impagliazzo,2001,crypt
Salil P. Vadhan,Steven Rudich,2001,crypt
Salil P. Vadhan,Amit Sahai,2001,crypt
Salil P. Vadhan,Luca Trevisan,2012,act
Salil P. Vadhan,Omer Reingold,2012,act
Salil P. Vadhan,Raghu Meka,2012,act
Salil P. Vadhan,Jonathan Ullman,2014,act
Salil P. Vadhan,Marco Gaboardi,2016,mlmining
Salil P. Vadhan,Jonathan Ullman,2016,mlmining
Salil P. Vadhan,Aaron Roth,2016,mlmining
Salil P. Vadhan,Luca Trevisan,2008,act
Salil P. Vadhan,Michael Mitzenmacher,2008,act
Salil P. Vadhan,Omer Reingold,2008,act
Salil P. Vadhan,Madhur Tulsiani,2008,act
Salil P. Vadhan,Amit Sahai,1999,crypt
Salil P. Vadhan,Boaz Barak,2003,act
Salil P. Vadhan,Omer Reingold,2003,act
Salil P. Vadhan,Eli Ben-Sasson,2003,act
Salil P. Vadhan,Yehuda Lindell,2003,act
Salil P. Vadhan,Madhu Sudan,2003,act
Salil P. Vadhan,Michael A. Bender,1998,act
Salil P. Vadhan,Amit Sahai,1998,act
Salil P. Vadhan,Omer Reingold,2009,crypt
Salil P. Vadhan,Omkant Pandey,2009,crypt
Salil P. Vadhan,Luca Trevisan,1999,act
Salil P. Vadhan,Michael O. Rabin,1999,act
Salil P. Vadhan,Omer Reingold,1999,act
Salil P. Vadhan,Silvio Micali,1999,act
Salil P. Vadhan,Madhu Sudan,1999,act
Salil P. Vadhan,Luca Trevisan,2006,act
Salil P. Vadhan,Anup Rao,2006,act
Salil P. Vadhan,Omer Reingold,2006,act
Salil P. Vadhan,David Zuckerman,2006,act
Salil P. Vadhan,Gil Segev,2013,crypt
Salil P. Vadhan,Luca Trevisan,2000,act
Salil P. Vadhan,Omer Reingold,2000,act
Salil P. Vadhan,Mihir Bellare,1998,crypt
Salil P. Vadhan,Amit Sahai,1998,crypt
Salil P. Vadhan,Boaz Barak,2003,crypt
Salil P. Vadhan,Daniele Micciancio,2003,crypt
Salil P. Vadhan,Yevgeniy Dodis,2012,crypt
Salil P. Vadhan,Luca Trevisan,2007,crypt
Salil P. Vadhan,Ronald L. Rivest,2007,crypt
Salil P. Vadhan,Ran Canetti,2007,crypt
Salil P. Vadhan,Madhu Sudan,2007,crypt
Salil P. Vadhan,Hoeteck Wee,2007,crypt
Salil P. Vadhan,Zeev Dvir,2011,hpc
Salil P. Vadhan,Iftach Haitner,2010,crypt
Salil P. Vadhan,Omer Reingold,2010,crypt
Salil P. Vadhan,Thomas Holenstein,2010,crypt
Salil P. Vadhan,Hoeteck Wee,2010,crypt
Salil P. Vadhan,Toniann Pitassi,2010,act
Salil P. Vadhan,Iftach Haitner,2010,act
Salil P. Vadhan,Omer Reingold,2010,act
Salil P. Vadhan,Andrew McGregor 0001,2010,act
Salil P. Vadhan,David Zuckerman,2006,crypt
Salil P. Vadhan,Adam D. Smith,2015,act
Salil P. Vadhan,Jonathan Ullman,2015,act
Salil P. Vadhan,Mohammad Mahmoody,2011,crypt
Salil P. Vadhan,Iftach Haitner,2009,act
Salil P. Vadhan,Omer Reingold,2009,act
Salil P. Vadhan,Hoeteck Wee,2009,act
Mohammad Taghi Hajiaghayi,Alina Ene,2011,act
Mohammad Taghi Hajiaghayi,Chandra Chekuri,2011,act
Mohammad Taghi Hajiaghayi,Ankur Moitra,2011,act
Mohammad Taghi Hajiaghayi,Erik D. Demaine,2004,act
Mohammad Taghi Hajiaghayi,Moses Charikar,2006,act
Mohammad Taghi Hajiaghayi,Harald Räcke,2006,act
Mohammad Taghi Hajiaghayi,Satish Rao,2006,act
Mohammad Taghi Hajiaghayi,Erik D. Demaine,2006,act
Mohammad Taghi Hajiaghayi,Mohammad R. Salavatipour,2006,act
Mohammad Taghi Hajiaghayi,Robert D. Kleinberg,2006,act
Mohammad Taghi Hajiaghayi,Anupam Gupta,2006,act
Mohammad Taghi Hajiaghayi,Chandra Chekuri,2006,act
Mohammad Taghi Hajiaghayi,Martin Farach-Colton,2005,act
Mohammad Taghi Hajiaghayi,Noga Alon,2005,act
Mohammad Taghi Hajiaghayi,Anastasios Sidiropoulos,2005,act
Mohammad Taghi Hajiaghayi,Harald Räcke,2005,act
Mohammad Taghi Hajiaghayi,Erik D. Demaine,2005,act
Mohammad Taghi Hajiaghayi,James R. Lee,2005,act
Mohammad Taghi Hajiaghayi,Robert D. Kleinberg,2005,act
Mohammad Taghi Hajiaghayi,Tuomas Sandholm,2007,ai
Mohammad Taghi Hajiaghayi,Robert D. Kleinberg,2007,ai
Mohammad Taghi Hajiaghayi,Robert Kleinberg,2007,act
Mohammad Taghi Hajiaghayi,Erik D. Demaine,2007,act
Mohammad Taghi Hajiaghayi,Shayan Oveis Gharan,2007,act
Mohammad Taghi Hajiaghayi,Chandra Chekuri,2007,act
Mohammad Taghi Hajiaghayi,Mohammad R. Salavatipour,2007,act
Mohammad Taghi Hajiaghayi,Debmalya Panigrahi,2013,act
Remzi H. Arpaci,Thomas E. Anderson,1995,metrics
Remzi H. Arpaci,Andrea C. Dusseau,1995,metrics
Remzi H. Arpaci,Ramesh Jain,1992,robotics
Remzi H. Arpaci,Katherine A. Yelick,1995,arch
Remzi H. Arpaci,David E. Culler,1995,arch
Remzi H. Arpaci,Arvind Krishnamurthy,1995,arch
Remzi H. Arpaci,David E. Culler,1996,metrics
Remzi H. Arpaci,Andrea C. Dusseau,1996,metrics
Rajiv Raman,Kasturi R. Varadarajan,2004,act
Rajiv Raman,Sriram V. Pemmaraju,2004,act
Terrence J. Sejnowski,Richard S. Zemel,1994,mlmining
Terrence J. Sejnowski,Richard S. Zemel,1996,mlmining
Terrence J. Sejnowski,Odelia Schwartz,2004,mlmining
Terrence J. Sejnowski,Rajesh P. N. Rao,1999,mlmining
Terrence J. Sejnowski,Odelia Schwartz,2005,mlmining
Guido Tack,Mark Wallace,2017,vis
Guido Tack,Christopher Mears,2017,vis
Guido Tack,Maria Garcia de la Banda,2017,vis
Guido Tack,Tim Dwyer,2017,vis
Matthew Stone,Bonnie L. Webber,1999,nlp
Matthew Stone,Alistair Knott,1999,nlp
Matthew Stone,Christoph Bregler,2004,graph
Matthew Stone,Dimitris N. Metaxas,1998,graph
Matthew Stone,Justine Cassell,1994,graph
Matthew Stone,Norman I. Badler,1994,graph
Matthew Stone,Mark Steedman,1994,graph
Dieter Fox,Rajesh P. N. Rao,2015,robotics
Dieter Fox,Maya Cakmak,2015,robotics
Dieter Fox,Rajesh P. N. Rao,2016,robotics
Dieter Fox,Maya Cakmak,2016,robotics
