name,orcid
Christian Jacob 0001,0000-0002-7733-0580
Christian Janiesch,0000-0000-0000-0000
Christian Jesús B. Fayomi,0000-0000-0000-0000
Christian Knauer,0000-0000-0000-0000
Christian Komusiewicz,0000-0003-0829-7032
Christian Konrad 0001,0000-0003-1802-4011
Christian Kop,0000-0001-5800-458X
Christian Kray,0000-0002-4199-8976
Christian Kästner,0000-0002-4450-4572
Christian Kümmerle,0000-0001-9267-5379
Christian Lengauer,0000-0000-0000-0000
Christian Lessig,0000-0002-2740-6815
Christian Mainka,0000-0002-4273-645X
Christian Majenz,0000-0002-1877-8385
Christian N. S. Pedersen,0000-0000-0000-0000
Christian Napoli 0001,0000-0000-0000-0000
Christian Nørgaard Storm Pedersen,0000-0002-8947-6771
Christian O'Reilly,0000-0002-3149-4934
Christian Plessl,0000-0001-5728-9982
Christian Poellabauer,0000-0002-0599-7941
Christian Pérez,0000-0000-0000-0000
Christian R. Huyck,0000-0000-0000-0000
Christian R. Shelton,0000-0001-6698-7838
Christian Rechberger,0000-0003-1280-6020
Christian Renner,0000-0002-6936-6444
Christian Reuter 0001,0000-0003-1920-038X
Christian Richardt,0000-0001-6716-9845
Christian Robert Huyck,0000-0000-0000-0000
Christian Rohner,0000-0002-1527-734X
Christian Rossow,0000-0003-2470-8444
Christian S. Collberg,0000-0003-1301-7939
Christian S. Jensen,0000-0002-9697-7670
Christian Schaffner,0000-0002-1754-1415
Christian Scheffer,0000-0000-0000-0000
Christian Scheideler,0000-0002-5278-528X
Christian Schilling,0000-0003-3658-1065
Christian Schindelhauer,0000-0002-8320-8581
Christian Schulte 0001,0000-0002-6283-7004
Christian Skalka,0000-0002-0402-809X
Christian Sohler,0000-0001-8990-3326
Christian Theobalt [INF],0000-0000-0000-0000
Christian Thomsen 0001,0000-0002-0862-0509
Christian Timmerer,0000-0000-0000-0000
Christian Urban,0000-0000-0000-0000
Christian W. Dawson,0000-0000-0000-0000
Christian Wagner 0002,0000-0000-0000-0000
Christian Wallraven,0000-0002-2604-9115
Christian Weinert,0000-0003-4906-6871
Christian Wolff 0001,0000-0001-7278-8595
Christian Wressnegger,0009-0007-1493-9552
Christian Ø. Madsen,0000-0000-0000-0000
Christian Østergaard Madsen,0000-0000-0000-0000
Christiane Neme Campos,0000-0000-0000-0000
Christiano Braga,0000-0000-0000-0000
Christiano de Oliveira Braga,0000-0000-0000-0000
Christie I. Ezeife,0000-0000-0000-0000
Christie Ijeoma Ezeife,0000-0000-0000-0000
Christin Lindholm,0000-0000-0000-0000
Christina Boucher 0001,0000-0000-0000-0000
Christina Brzuska,0000-0000-0000-0000
Christina C. Christara,0000-0000-0000-0000
Christina Delimitrou,0000-0001-7779-4134
Christina Gardner-McCune,0000-0002-4397-9162
Christina Garman,0009-0006-5077-5404
Christina Lee Yu,0000-0002-2165-5220
Christina Lioma,0000-0003-2600-2701
Christina Pöpper,0000-0002-2814-962X
Christine Allen-Blanchette,0000-0000-0000-0000
Christine Alvarado,0000-0003-1182-1069
Christine Cheng,0000-0000-0000-0000
Christine Diane Lim,0000-0000-0000-0000
Christine Evers,0000-0003-0757-5504
Christine J. Alvarado,0000-0000-0000-0000
Christine Julien 0001,0000-0002-4131-4642
Christine L. Lisetti,0000-0000-0000-0000
Christine L. Mumford,0000-0000-0000-0000
Christine L. Mumford-Valenzuela,0000-0000-0000-0000
Christine L. Valenzuela,0000-0000-0000-0000
Christine Largeron,0000-0000-0000-0000
Christine Largeron-Leténo,0000-0000-0000-0000
Christine Lv,0000-0000-0000-0000
Christine Lætitia Lisetti,0000-0000-0000-0000
Christine Rizkallah,0000-0003-4785-2836
Christine Zarges,0000-0002-2829-4296
Christo Wilson,0000-0002-5268-004X
Christof Ferreira Torres,0000-0001-6992-703X
Christof Fetzer,0000-0001-8240-5420
Christof Huebner,0000-0000-0000-0000
Christof Hübner,0000-0000-0000-0000
Christof Lutteroth,0000-0003-0634-7569
Christof Monz,0000-0003-1872-1888
Christof Paar [SP],0000-0000-0000-0000
Christof Seiler,0000-0001-8802-3642
Christof Weiß,0000-0003-2143-4679
Christof van Nimwegen,0009-0004-1037-242X
Christoffer Heckman,0000-0002-9651-6866
Christoffer R. Heckman,0000-0000-0000-0000
Christoforos E. Kozyrakis,0000-0000-0000-0000
Christoforos Moutafis,0000-0000-0000-0000
Christoph Ament,0000-0000-0000-0000
Christoph Berkholz,0000-0002-3554-517X
Christoph Bockisch,0000-0000-0000-0000
Christoph Csallner,0000-0003-0896-6902
Christoph E. Koch,0000-0000-0000-0000
Christoph F. Breidbach,0000-0000-0000-0000
Christoph F. Eick,0000-0000-0000-0000
Christoph Garth,0000-0003-1669-8549
Christoph Grimm 0001,0000-0002-5930-7563
Christoph H. Lampert,0000-0001-8622-7887
Christoph Haase,0000-0002-5452-936X
Christoph J. Stettina,0000-0000-0000-0000
Christoph Johann Feinauer,0000-0000-0000-0000
Christoph Koch 0001,0000-0002-9130-7205
Christoph Kreitz,0000-0000-0000-0000
Christoph Lambert,0000-0000-0000-0000
Christoph Lampert,0000-0001-8622-7887
Christoph Lenzen 0001,0000-0002-3290-0674
Christoph Lindemann,0000-0000-0000-0000
Christoph Lippert,0000-0001-6363-2556
Christoph Lofi,0000-0000-0000-0000
Christoph M. Hoffmann,0000-0000-0000-0000
Christoph M. Kirsch,0000-0000-0000-0000
Christoph Meinel,0009-0009-9797-6483
Christoph Meyer 0001,0000-0000-0000-0000
Christoph Pflaum,0000-0001-9598-1849
Christoph Reichenbach,0000-0003-0608-7023
Christoph Riedl,0000-0002-3807-6364
Christoph Ruland,0000-0002-4518-8735
Christoph S. Garbe,0000-0000-0000-0000
Christoph Schlieder,0000-0000-0000-0000
Christoph Schnörr,0000-0002-8999-2338
Christoph Scholl 0001,0000-0002-8448-7834
Christoph Schommer,0000-0002-0308-7637
Christoph Seidl 0001,0000-0003-4539-8297
Christoph Sommer 0001,0000-0002-4336-7350
Christoph Treude,0000-0002-6919-2149
Christoph W. Borst,0000-0001-7361-5426
Christoph Weidenbach [INF],0000-0000-0000-0000
Christoph-Matthias Bockisch,0000-0000-0000-0000
Christophe Alias,0000-0000-0000-0000
Christophe Bobda,0000-0002-9042-9470
Christophe Chaillou,0000-0000-0000-0000
Christophe Crespelle,0000-0000-0000-0000
Christophe Dubach,0000-0003-4811-2469
Christophe Ducottet,0000-0002-2812-1918
Christophe G. Giraud-Carrier,0000-0002-4129-3239
Christophe Gravier,0000-0001-8586-6302
Christophe Hauser,0000-0001-7698-8041
Christophe Petit 0001,0000-0003-3482-6743
Christopher A. Egert,0000-0000-0000-0000
Christopher A. Le Dantec,0000-0001-8338-4852
Christopher A. Leckie,0000-0000-0000-0000
Christopher A. Metzler,0000-0001-6827-7207
Christopher Allen,0000-0002-0575-1300
Christopher Amato,0000-0002-6786-7384
Christopher Archibald,0000-0001-7258-3805
Christopher B. Jones,0000-0000-0000-0000
Christopher Baber,0000-0000-0000-0000
Christopher Bailey 0002,0000-0000-0000-0000
Christopher Bailey-Kellogg,0000-0000-0000-0000
Christopher Barrett,0000-0000-0000-0000
Christopher Batten,0000-0002-2835-667X
Christopher Batty,0000-0003-3830-7772
Christopher Brown,0000-0000-0000-0000
Christopher Bystroff,0000-0000-0000-0000
Christopher Child,0000-0001-5425-2308
Christopher Crick,0000-0002-1635-823X
Christopher Crispin-Bailey,0000-0000-0000-0000
Christopher D. Carothers,0000-0000-0000-0000
Christopher D. Clack,0000-0000-0000-0000
Christopher D. Gill,0000-0003-0366-8586
Christopher D. Hundhausen,0000-0001-5128-905X
Christopher D. Manning,0000-0001-6155-649X
Christopher David Hundhausen,0000-0000-0000-0000
Christopher De Sa,0000-0002-3610-2696
Christopher Douce,0000-0000-0000-0000
Christopher Dutchyn,0000-0002-0023-3088
Christopher E. Doughty,0000-0000-0000-0000
Christopher E. Peters,0000-0000-0000-0000
Christopher Edward Peters,0000-0000-0000-0000
Christopher Edwards,0000-0000-0000-0000
Christopher F. Lehnert,0000-0002-4230-8068
Christopher Ferrie,0000-0003-2736-9943
Christopher Fietkiewicz,0000-0000-0000-0000
Christopher Freeman,0000-0000-0000-0000
Christopher G. Atkeson,0000-0000-0000-0000
Christopher G. Healey,0000-0002-2617-8638
Christopher G. Lucas,0000-0002-6655-8627
Christopher Gad,0000-0002-1631-5483
Christopher Greenhalgh,0000-0000-0000-0000
Christopher H. T. Child,0000-0000-0000-0000
Christopher Hampson,0000-0000-0000-0000
Christopher Hoadley,0000-0003-4161-1820
Christopher Hollitt,0000-0000-0000-0000
Christopher Homan,0000-0003-1821-5125
Christopher J. Dutchyn,0000-0000-0000-0000
Christopher J. Langmead,0000-0000-0000-0000
Christopher J. MacLellan,0000-0003-3084-5189
Christopher J. Nitta,0000-0000-0000-0000
Christopher J. Quinn,0000-0002-9053-1504
Christopher J. Rossbach,0000-0003-0329-3657
Christopher J. Rozell,0000-0000-0000-0000
Christopher J. Taylor 0001,0000-0000-0000-0000
Christopher James Ewin,0000-0000-0000-0000
Christopher James Langmead,0000-0001-7521-6736
Christopher James MacLellan,0000-0000-0000-0000
Christopher Jason Peikert,0000-0000-0000-0000
Christopher Jefferson,0000-0003-2979-5989
Christopher John Crick,0000-0000-0000-0000
Christopher Joseph Pal,0000-0000-0000-0000
Christopher K. I. Williams,0000-0002-6270-4703
Christopher Kanan,0000-0002-6412-995X
Christopher Kiekintveld,0000-0000-0000-0000
Christopher Kruegel,0000-0001-5140-3414
Christopher Krügel,0000-0000-0000-0000
Christopher Kumar Anand,0000-0000-0000-0000
Christopher L. Barrett,0000-0000-0000-0000
Christopher L. North,0000-0000-0000-0000
Christopher Leckie,0000-0002-4388-0517
Christopher Lucas 0001,0000-0000-0000-0000
Christopher M. Brown,0000-0000-0000-0000
Christopher M. Danforth,0000-0000-0000-0000
Christopher M. Homan,0000-0000-0000-0000
Christopher M. Jermaine,0000-0000-0000-0000
Christopher M. Reardon,0000-0000-0000-0000
Christopher M. Summa,0000-0000-0000-0000
Christopher MacLellan,0000-0003-3084-5189
Christopher Maddison,0000-0000-0000-0000
Christopher Malinowski,0000-0000-0000-0000
Christopher Michael Homan,0000-0000-0000-0000
Christopher Morris 0001,0000-0002-0465-1068
Christopher Musco,0000-0002-3118-4848
Christopher Nitta,0000-0003-1531-2771
Christopher Peters 0001,0000-0002-7257-0761
Christopher Piech,0000-0000-0000-0000
Christopher Potts,0000-0002-7978-6055
Christopher Power,0000-0001-9486-8043
Christopher R. Johnson 0001,0000-0001-5673-5338
Christopher Raphael,0000-0000-0000-0000
Christopher Rasmussen,0000-0003-2831-8531
Christopher Riesbeck,0000-0001-7673-1000
Christopher Russell 0001,0000-0003-1665-1759
Christopher Ré,0000-0000-0000-0000
Christopher Scaffidi,0000-0000-0000-0000
Christopher Stewart,0000-0002-2860-7889
Christopher T. Freeman,0000-0000-0000-0000
Christopher Thomas 0004,0000-0002-3226-396X
Christopher Thomas Freeman,0000-0000-0000-0000
Christopher Torng,0000-0002-2385-619X
Christopher Umans,0000-0000-0000-0000
Christopher W. Clifton,0000-0000-0000-0000
Christopher W. Fletcher,0000-0002-9995-5995
Christopher W. Geib,0000-0000-0000-0000
Christopher W. Johnson 0001,0000-0000-0000-0000
Christopher William Geib,0000-0000-0000-0000
Christopher Wojtan,0000-0001-6646-5546
Christophoros Nikou,0000-0000-0000-0000
Christos Anagnostopoulos 0001,0000-0003-1517-6757
Christos Dimoulas,0000-0002-9338-7034
Christos Douligeris,0000-0002-6849-6693
Christos Doulkeridis,0000-0002-3219-0510
Christos Faloutsos,0000-0003-2996-9790
Christos H. Papadimitriou,0009-0000-7264-8015
Christos Harilaos Papadimitriou,0000-0000-0000-0000
Christos K. Xenakis,0000-0000-0000-0000
Christos Kloukinas,0000-0003-0424-7425
Christos Kotselidis,0000-0002-8146-3503
Christos Kozyrakis,0000-0002-3154-7530
Christos Nomikos,0000-0000-0000-0000
Christos Papachristos,0000-0000-0000-0000
Christos Papadopoulos,0000-0000-0000-0000
Christos Tzamos,0000-0002-7560-5069
Christos Xenakis,0000-0001-6718-122X
Christos Xenofontas A. Dimitropoulos,0000-0000-0000-0000
Christos-Alexandros Psomas,0000-0002-7709-5058
Chrysa Papagianni,0000-0002-2665-6492
Chu Kiong Loo,0000-0000-0000-0000
Chu-Song Chen,0000-0002-2959-2471
Chu-Xu Zhang,0000-0000-0000-0000
Chuadhry Mujeeb Ahmed,0000-0003-3644-0465
Chuan Chen 0001,0000-0000-0000-0000
Chuan Lu,0000-0002-4898-6679
Chuan Luo 0001,0000-0000-0000-0000
Chuan Luo 0002,0000-0001-5028-1064
Chuan Shi 0001,0000-0002-3734-0266
Chuan Wu 0001,0000-0002-3144-4398
Chuan Xiao 0001,0000-0001-7239-5134
Chuan Yue,0000-0002-6095-4768
Chuan-Ching Sue,0009-0006-6350-2392
Chuang Gan 0001,0000-0003-4031-5886
Chuang Zhang,0000-0000-0000-0000
Chuang Zhu,0000-0001-5155-7069
Chuanhe Huang,0000-0001-5554-4871
Chuanyi Ji,0000-0000-0000-0000
Chuanyi Li,0000-0001-9270-5072
Chuanyi Liu,0000-0000-0000-0000
Chubo Liu,0000-0002-2372-6715
Chuck Anderson 0001,0000-0000-0000-0000
Chuck Hansen,0000-0000-0000-0000
Chuck Yoo,0000-0002-1115-1862
Chuen-Tsai Sun,0000-0000-0000-0000
Chugui Xu,0000-0000-0000-0000
Chul-Ho Lee,0000-0002-4778-8996
Chulhee Yun,0000-0000-0000-0000
Chun Cao,0009-0009-3207-4059
Chun Chen 0001,0000-0002-6198-7481
Chun Jason Xue,0000-0002-6431-9868
Chun Jiang Zhu,0000-0002-5227-3575
Chun Kit Chui,0000-0001-8456-6228
Chun Ruan,0000-0002-8931-3411
Chun Tung Chou,0000-0003-4512-7155
Chun Xue 0001,0000-0000-0000-0000
Chun Yan Miao,0000-0000-0000-0000
Chun Yang,0000-0002-6297-4500
Chun Yu,0000-0003-2591-7993
Chun-Feng Wu,0000-0002-6367-0517
Chun-Guang Li,0000-0000-0000-0000
Chun-Hsi Huang,0000-0000-0000-0000
Chun-Jen Tsai,0000-0000-0000-0000
Chun-Lei Liu,0000-0000-0000-0000
Chun-Yao Wang,0000-0002-4536-214X
Chun-Yi Lee,0000-0002-4680-4800
Chun-Ying Huang,0000-0001-5503-9541
ChunLei Li,0000-0000-0000-0000
Chunbo Luo,0000-0000-0000-0000
Chundong Wang 0001,0000-0001-9069-2650
Chung Chan,0000-0000-0000-0000
Chung Hwan Kim,0000-0002-0985-8439
Chung-Chieh Jay Kuo,0000-0000-0000-0000
Chung-Hsien Wu 0001,0000-0002-3947-2123
Chung-Hsing Yeh,0000-0002-2938-1455
Chung-Kil Hur,0000-0002-1656-0913
Chung-Kuan Cheng,0000-0002-9865-8390
Chung-Ming Huang,0000-0001-7195-4264
Chung-Ping Young,0000-0000-0000-0000
Chung-Ta King,0000-0002-5041-5795
Chung-Wei Lin,0000-0001-8309-7028
Chung-chieh Shan,0000-0002-0339-6405
Chungming Huang,0000-0000-0000-0000
Chunhao Wang,0000-0000-0000-0000
Chunhe Xia,0000-0000-0000-0000
Chunhua Jiang,0000-0000-0000-0000
Chunhua Shen,0000-0002-8648-8718
Chunjiang Zhu,0000-0002-5227-3575
Chunjie Zhang,0000-0000-0000-0000
Chunlai Zhou,0000-0000-0000-0000
Chunlei Li,0000-0002-9822-9465
Chunlei Liu,0000-0000-0000-0000
Chunlei Peng,0000-0003-3448-2514
Chunlin Chen 0001,0000-0000-0000-0000
Chunming Hu,0000-0003-3473-9703
Chunming Li,0000-0002-4159-7048
Chunming Qiao,0000-0002-4679-6572
Chunming Wu 0001,0000-0001-7958-9687
Chunping Li,0000-0002-4521-0875
Chunping Liu,0000-0000-0000-0000
Chunqiang Hu,0000-0001-5825-2241
Chunrong Fang,0000-0002-9930-7111
Chunsheng Xin,0000-0000-0000-0000
Chunwei Liu,0000-0003-1481-2678
Chunxia Xiao,0000-0002-4526-6297
Chunyan Miao,0000-0002-0300-3448
Chunyang Chen 0001,0000-0003-2011-9618
Chunyi Peng 0001,0000-0003-2945-4981
Chunyu Lin,0000-0003-2847-0349
Chunyu Wang,0000-0001-6348-2455
Chunyu Wang 0002,0000-0002-2965-9920
Chunyu Wei,0000-0002-5802-5759
Chuxu Zhang,0000-0002-8349-7926
Chuyu Wang,0000-0002-1479-9023
Cian O'Donnell,0000-0003-2031-9177
Ciara Rafferty,0000-0000-0000-0000
Ciaran Moore,0000-0000-0000-0000
Ciaran P. Moore,0000-0000-0000-0000
Ciarán Mc Goldrick,0000-0001-6442-3262
Cicek Cavdar,0000-0000-0000-0000
Cid C. de Souza,0000-0002-5945-0845
Cid Carvalho de Souza,0000-0000-0000-0000
Cigdem Demir,0000-0000-0000-0000
Cigdem Gunduz,0000-0000-0000-0000
Cigdem Gunduz Demir,0000-0000-0000-0000
Cigdem Sengul,0000-0002-6011-9690
Cihan Tunc,0000-0001-5200-1097
Cihang Xie,0000-0003-1243-8045
Cindy Grimm,0000-0002-1711-7112
Cindy L. Bethel,0000-0001-9036-3275
Cindy Lin,0000-0002-9273-4970
Cindy M. Grimm,0000-0002-1711-7112
Cindy Marling,0000-0002-4155-5155
Cindy Rubio-González,0000-0002-0861-3763
Cindy X. Chen,0000-0000-0000-0000
Cindy Xinmin Chen,0000-0000-0000-0000
Cindy Xiong,0000-0002-1451-4083
Cindy Xiong Bearfield,0000-0002-1451-4083
Cindy Ya Xiong,0000-0000-0000-0000
Cinzia Cappiello,0000-0001-6062-5174
Claes Strannegård,0000-0000-0000-0000
Claire Cardie,0000-0002-2061-6094
Claire J. Tomlin,0000-0000-0000-0000
Claire Jennifer Tomlin,0000-0000-0000-0000
Claire Kenyon,0000-0000-0000-0000
Claire Kenyon-Mathieu,0000-0000-0000-0000
Claire Le Goues,0000-0002-3931-060X
Claire Mathieu,0000-0000-0000-0000
Claire Monteleoni,0000-0002-9488-0517
Claire Timpany,0000-0003-0102-2191
Clara I. Sánchez,0000-0000-0000-0000
Clara Mancini,0000-0003-1555-077X
Clare Dixon,0000-0002-4610-9533
Clarindo Isaías P. S. Pádua,0000-0000-0000-0000
Clarindo Isaías Pereira da Silva e Pádua,0000-0000-0000-0000
Clarindo Pádua,0000-0000-0000-0000
Clarisse Dhaenens,0000-0000-0000-0000
Clarisse Dhaenens-Flipo,0000-0000-0000-0000
Clarisse S. de Souza,0000-0000-0000-0000
Clarisse Sieckenius de Souza,0000-0000-0000-0000
Clark Barrett,0000-0002-9522-3084
Clark D. Thomborson,0000-0000-0000-0000
Clark D. Thompson,0000-0000-0000-0000
Clark David Thomborson,0000-0000-0000-0000
Clark Elliott,0000-0000-0000-0000
Clark T.-C. Nguyen,0000-0000-0000-0000
Clark Verbrugge,0000-0003-0663-7347
Clark W. Barrett,0000-0002-9522-3084
Claude Crépeau,0000-0002-9990-8005
Claude Draude,0000-0001-8467-195X
Claude Frasson,0000-0000-0000-0000
Claude Sammut,0000-0000-0000-0000
Claude Tardif,0000-0000-0000-0000
Claude-Guy Quimper,0000-0002-5899-0217
Claude-Pierre Jeannerod,0000-0000-0000-0000
Claudia Bauzer Medeiros,0000-0000-0000-0000
Claudia Canali,0000-0001-8448-7693
Claudia Cavallaro,0000-0003-3938-0947
Claudia Díaz,0000-0000-0000-0000
Claudia Eckert 0001,0000-0000-0000-0000
Claudia Fohry,0000-0000-0000-0000
Claudia Hauff,0000-0001-9879-6470
Claudia Jiménez-Guarín,0000-0002-9854-9258
Claudia Krull,0000-0000-0000-0000
Claudia Leopold,0000-0000-0000-0000
Claudia Linnhoff,0000-0000-0000-0000
Claudia Linnhoff-Popien,0000-0000-0000-0000
Claudia Lucía Jiménez-Guarín,0000-0000-0000-0000
Claudia Müller 0001,0000-0000-0000-0000
Claudia Müller 0002,0000-0000-0000-0000
Claudia Müller-Birn,0000-0000-0000-0000
Claudia Neuhauser,0000-0001-8932-675X
Claudia Plant,0000-0001-5274-8123
Claudia Popien,0000-0000-0000-0000
Claudia Szabo,0000-0003-2501-1155
Claudia Wagner 0001,0000-0000-0000-0000
Claudine Picaronny,0000-0000-0000-0000
Claudio Di Ciccio,0000-0001-5570-0475
Claudio E. Palazzi,0000-0002-8877-0848
Claudio E. Righetti,0000-0000-0000-0000
Claudio Esperança,0000-0002-4942-3624
Claudio Fabiano Motta Toledo,0000-0000-0000-0000
Claudio Fiandrino,0000-0002-4323-4355
Claudio Gallicchio,0000-0002-6692-2564
Claudio Gutierrez 0001,0000-0002-4559-6544
Claudio Gutiérrez 0001,0000-0000-0000-0000
Claudio Luis de Amorim,0000-0000-0000-0000
Claudio Orlandi,0000-0003-4992-0249
Claudio Sacchi,0000-0003-4307-6462
Claus Brabrand,0000-0001-5093-5806
Claus Lewerentz,0000-0000-0000-0000
Clay Shields,0009-0000-3588-1723
Clay Stevens,0000-0001-5399-9661
Clayton D. Scott,0000-0000-0000-0000
Clayton H. Lewis,0000-0000-0000-0000
Clayton Lewis,0000-0001-5989-6479
Clayton Scott,0000-0002-0373-817X
Cleber Zanchettin,0000-0000-0000-0000
Clelia De Felice,0000-0000-0000-0000
Clelia de Felice,0000-0000-0000-0000
Clem Herman,0000-0003-2073-0521
Clemens Beckstein,0000-0000-0000-0000
Clemens Dubslaff,0000-0001-5718-8276
Clemens Grelck,0000-0003-3003-1388
Clemens H. Cap,0000-0003-3958-6136
Clemens Heitzinger,0000-0000-0000-0000
Clemens Kupke,0000-0002-0502-391X
Clemens Nylandsted Klokmose,0000-0002-1866-0619
Clement H. C. Leung,0000-0000-0000-0000
Clemente Galdi,0000-0002-2988-700X
Clemente Izurieta,0000-0000-0000-0000
Cliff C. Zou,0000-0000-0000-0000
Cliff Changchun Zou,0000-0000-0000-0000
Cliff Stein 0001,0000-0002-0614-6620
Clifford A. Shaffer,0000-0003-0001-0295
Clifford De Raffaele,0000-0000-0000-0000
Clifford Stein 0001,0000-0002-0614-6620
Clifford Sule,0000-0002-7637-6181
Clint P. George,0000-0000-0000-0000
Clint Pazhayidam George,0000-0000-0000-0000
Clinton Jeffery,0000-0000-0000-0000
Clinton L. Jeffery,0000-0000-0000-0000
Clio Andris,0000-0002-8559-5079
Clive G. Parini,0000-0000-0000-0000
Clive Parini,0000-0000-0000-0000
Clodoveu A. Davis Jr.,0000-0000-0000-0000
Clodoveu Augusto Davis Jr.,0000-0000-0000-0000
Clodoveu Augusto Davis Junior,0000-0000-0000-0000
Clyde Lee Giles,0000-0000-0000-0000
Clyde P. Kruskal,0000-0000-0000-0000
Cláudia Antunes,0000-0002-9467-2515
Cláudia M. L. Werner,0000-0000-0000-0000
Cláudia Maria Lima Werner,0000-0002-4231-9621
Cláudia Soares,0000-0000-0000-0000
Cláudio F. R. Geyer,0000-0000-0000-0000
Cláudio Fernando Resin Geyer,0000-0000-0000-0000
Cláudio L. Amorim,0000-0000-0000-0000
Cláudio R. Jung,0000-0000-0000-0000
Cláudio Rosito Jung,0000-0002-4711-5783
Cláudio T. Silva,0000-0003-2452-2295
Cláudio Teixeira Silva,0000-0000-0000-0000
Cláudio Toledo,0000-0000-0000-0000
Cláudio Toledo 0001,0000-0000-0000-0000
Clément Aubert,0000-0001-6346-3043
Clément Ballabriga,0000-0000-0000-0000
Clément L. Canonne,0000-0001-7153-5211
Clément Louis Canonne,0000-0000-0000-0000
Clément Pernet,0000-0001-6970-0417
Clément Pit-Claudel,0000-0002-1900-3901
Clément Quinton,0000-0000-0000-0000
Clément W. Royer,0000-0000-0000-0000
Cody Bumgardner,0000-0000-0000-0000
Cody Dunne,0000-0002-1609-9776
Colin Atkinson 0001,0000-0002-3164-5595
Colin Cooper,0000-0002-5264-4401
Colin G. Johnson,0000-0002-9236-6581
Colin Graeme Johnson,0000-0000-0000-0000
Colin J. Dalton,0000-0000-0000-0000
Colin Keng-Yan Tan,0000-0000-0000-0000
Colin M. Gray,0000-0002-7307-1550
Colin N. Dewey,0000-0000-0000-0000
Colin Perkins,0000-0002-3404-8964
Colin Potts,0000-0000-0000-0000
Colin Raffel,0000-0000-0000-0000
Colin Riba,0000-0000-0000-0000
Colin S. Gordon,0000-0002-9012-4490
Colin S. Perkins,0000-0002-3404-8964
Colin Ware,0000-0002-4616-5017
Colleen M. Lewis,0000-0001-7339-5961
Collin F. Lynch,0000-0001-6958-9368
Collin Lynch,0000-0001-6958-9368
Collin M. Stultz,0000-0002-3415-242X
Collin McMillan,0009-0005-0887-1083
Colm J. Ryan,0000-0000-0000-0000
Concepción Vidal,0000-0000-0000-0000
Concettina Guerra,0000-0000-0000-0000
Cong Fang 0001,0000-0000-0000-0000
Cong Hao,0000-0002-2541-8767
Cong Liu 0005,0000-0003-1190-522X
Cong Shi 0004,0000-0002-7599-202X
Cong Sun 0001,0000-0001-9116-2694
Cong Tian,0000-0002-5429-4580
Cong Wang 0001,0000-0003-0547-315X
Congfu Xu,0000-0001-8758-7948
Conghui Zhu,0009-0006-1478-5824
Congming Gao,0000-0003-2611-2652
Congyan Lang,0000-0000-0000-0000
Congyi Zhang 0005,0000-0000-0000-0000
Connie White,0000-0000-0000-0000
Conor J. Houghton,0000-0000-0000-0000
Conrad Watt,0000-0002-0596-877X
Conrado R. Ruiz Jr.,0000-0002-0956-7201
Constance J. Chang-Hasnain,0000-0000-0000-0000
Constandinos X. Mavromoustakis,0000-0000-0000-0000
Constantin A. Rothkopf,0000-0002-5636-0801
Constantin Catalin Dragan,0000-0002-4033-9880
Constantin Orasan,0000-0003-2067-8890
Constantin Papaodysseus,0000-0000-0000-0000
Constantin Pape,0000-0001-6562-7187
Constantine Caramanis,0000-0001-9939-8378
Constantine Dovrolis,0000-0002-4491-861X
Constantine Stephanidis,0000-0003-3687-4220
Constantinos Constantinides,0009-0007-1838-0071
Constantinos Daskalakis,0000-0002-5451-0490
Constantinos Dovrolis,0000-0000-0000-0000
Constantinos Lambrinoudakis,0000-0000-0000-0000
Constantinos Markantonakis,0000-0000-0000-0000
Constantinos Patsakis,0000-0000-0000-0000
Corey Baker,0000-0003-4803-2530
Corey E. Baker,0000-0000-0000-0000
Corey Tessler,0000-0001-6355-2740
Corey Toler-Franklin,0000-0000-0000-0000
Cori Faklaris,0000-0000-0000-0000
Corin Pitcher,0000-0000-0000-0000
Corina Cîrstea,0000-0003-3165-5678
Corina Sas,0000-0001-9297-9612
Corinna Coupette,0000-0001-9151-2092
Corinne Fournier,0000-0001-9280-7722
Cormac Flanagan,0009-0009-5067-6774
Cornelia Caragea,0000-0002-5664-2163
Cornelia Maria Verspoor,0000-0000-0000-0000
Cornelia Verspoor,0000-0002-8661-1544
Cornelis Huizing,0000-0000-0000-0000
Cornelius Greither,0000-0000-0000-0000
Corrado Priami,0000-0000-0000-0000
Corrado Santoro,0000-0000-0000-0000
Cory Barker,0000-0000-0000-0000
Cory C. Beard,0000-0000-0000-0000
Cory J. Butz,0000-0000-0000-0000
Cory James Butz,0000-0000-0000-0000
Coskun Bayrak,0000-0000-0000-0000
Cosmin E. Oancea,0000-0001-5421-6876
Cosmin Eugen Oancea,0000-0000-0000-0000
Cosmin Munteanu,0000-0002-0635-9124
Costantino Grana,0000-0002-4792-2358
Costas Busch,0000-0002-4381-4333
Costas Courcoubetis,0000-0000-0000-0000
Costas J. Spanos,0000-0000-0000-0000
Costas Lambrinoudakis,0000-0003-3101-5347
Costas Patsakis,0000-0000-0000-0000
Costas S. Iliopoulos,0000-0000-0000-0000
Costas S. Tzafestas,0000-0003-1545-9191
Costas Tsatsoulis,0000-0000-0000-0000
Costis Daskalakis,0000-0000-0000-0000
Craig A. Schroeder,0000-0003-0528-7007
Craig A. Shue,0000-0000-0000-0000
Craig B. Zilles,0000-0003-4601-4398
Craig Caldwell,0000-0003-2952-0029
Craig D. Stewart,0000-0001-7548-1660
