name,affiliation
Mohammed Samaka , Qatar University
Noor Al-Máadeed , Qatar University
Noora Fetais , Qatar University
Osama Halabi , Qatar University
Osama Shata , Qatar University
Qutaibah M. Malluhi , Qatar University
Qutaibah Marwan Malluhi , Qatar University
Rachid Hadjidj , Qatar University
Ryan Riley , Qatar University
Sebti Foufou , Qatar University
Somaya Al-Máadeed , Qatar University
Somaya Ali Al-Máadeed , Qatar University
Tamer Elsayed , Qatar University
Tarek Elfouly , Qatar University
Uvais A. Qidwai , Qatar University
Uvais Qidwai , Qatar University
Xiao-Dan Zhu , Queen's University
Xiaodan Zhu , Queen's University
Ahmed E. Hassan , Queen’s University
David Alex Lamb , Queen’s University
David B. Skillicorn , Queen’s University
David Rappaport , Queen’s University
Don Jardine , Queen’s University
Dorothea Blostein , Queen’s University
Farhana H. Zulkernine , Queen’s University
Gabor Fichtinger , Queen’s University
Glenn H. Macewen , Queen’s University
Hossam S. Hassanein , Queen’s University
James R. Cordy , Queen’s University
James Stewart , Queen’s University
Janice I. Glasgow , Queen’s University
Juergen Dingel , Queen’s University
Jürgen Dingel , Queen’s University
Kai Salomaa , Queen’s University
Michael A. Jenkins , Queen’s University
Michael Levison , Queen’s University
Mohammad Zulkernine , Queen’s University
Parvin Mousavi , Queen’s University
Patrick Martin , Queen’s University
Qingling Duan , Queen’s University
R. E. Ellis , Queen’s University
Randy E. Ellis , Queen’s University
Robert D. Tennent , Queen’s University
Robert G. Crawford , Queen’s University
Robin W. Dawes , Queen’s University
Roel Vertegaal , Queen’s University
Selim G. Akl , Queen’s University
T. C. Nicholas Graham , Queen’s University
T. Patrick Martin , Queen’s University
Bastian Leibe , RWTH Aachen
Bernhard Rumpe , RWTH Aachen
Erich Grädel , RWTH Aachen
Erika Ábrahám , RWTH Aachen
Erika Ábrahám-Mumm , RWTH Aachen
Gerhard Lakemeyer , RWTH Aachen
Hermann Ney , RWTH Aachen
Horst Lichter , RWTH Aachen
Jan Bender , RWTH Aachen
Jan O. Borchers , RWTH Aachen
Jan Oliver Borchers , RWTH Aachen
Joost-Pieter Katoen , RWTH Aachen
Jürgen Giesl , RWTH Aachen
Klaus Wehrle , RWTH Aachen
Leif Kobbelt , RWTH Aachen
Manfred Nagl , RWTH Aachen
Martin Grohe , RWTH Aachen
Matthias Jarke , RWTH Aachen
Matthias Müller , RWTH Aachen
Otto Spaniol , RWTH Aachen
Paolo Bientinesi , RWTH Aachen
Pascal Schweitzer , RWTH Aachen
Peter Rossmanith , RWTH Aachen
Stefan Decker , RWTH Aachen
Stefan Kowalewski , RWTH Aachen
Thomas Berlage , RWTH Aachen
Thomas Noll , RWTH Aachen
Thomas Rose , RWTH Aachen
Torsten Kuhlen , RWTH Aachen
Torsten W. Kuhlen , RWTH Aachen
Torsten Wolfgang Kuhlen , RWTH Aachen
Ulrik Schroeder , RWTH Aachen
Ulrike Meyer , RWTH Aachen
Uwe Naumann , RWTH Aachen
Walter Oberschelp , RWTH Aachen
Wolfgang Prinz , RWTH Aachen
Wolfgang Thomas , RWTH Aachen
Ana Milanova , Rensselaer Polytechnic Institute
Barbara Cutler , Rensselaer Polytechnic Institute
Boleslaw K. Szymanski , Rensselaer Polytechnic Institute
Carlos A. Varela , Rensselaer Polytechnic Institute
Carlos Varela , Rensselaer Polytechnic Institute
Charles Stewart , Rensselaer Polytechnic Institute
Chris Bystroff , Rensselaer Polytechnic Institute
Christopher Bystroff , Rensselaer Polytechnic Institute
Christopher D. Carothers , Rensselaer Polytechnic Institute
David Isaacson , Rensselaer Polytechnic Institute
David L. Spooner , Rensselaer Polytechnic Institute
Elliot Anshelevich , Rensselaer Polytechnic Institute
Fran Berman , Rensselaer Polytechnic Institute
Francine Berman , Rensselaer Polytechnic Institute
Heng Ji , Rensselaer Polytechnic Institute
James A. Hendler , Rensselaer Polytechnic Institute
James Alexander Hendler , Rensselaer Polytechnic Institute
Jeff Trinkle , Rensselaer Polytechnic Institute
Jeffrey C. Trinkle , Rensselaer Polytechnic Institute
Jim Hendler , Rensselaer Polytechnic Institute
Lirong Xia , Rensselaer Polytechnic Institute
Malik Magdon-Ismail , Rensselaer Polytechnic Institute
Mark K. Goldberg , Rensselaer Polytechnic Institute
Martin Hardwick , Rensselaer Polytechnic Institute
Michael J. Wozny , Rensselaer Polytechnic Institute
Mohammed Zaki , Rensselaer Polytechnic Institute
Mukkai Krishnamoorthy , Rensselaer Polytechnic Institute
Ron Eglash , Rensselaer Polytechnic Institute
Selmer Bringsjord , Rensselaer Polytechnic Institute
Sergei Nirenburg , Rensselaer Polytechnic Institute
Sibel Adali , Rensselaer Polytechnic Institute
Stacy Patterson , Rensselaer Polytechnic Institute
W. Randolph Franklin , Rensselaer Polytechnic Institute
Wayne D. Gray , Rensselaer Polytechnic Institute
Wm. Randolph Franklin , Rensselaer Polytechnic Institute
Alan L. Cox , Rice University
Anshumali Shrivastava , Rice University
Ashok Narayanan Veeraraghavan , Rice University
Ashok Veeraraghavan , Rice University
Chris Jermaine , Rice University
Christopher M. Jermaine , Rice University
Dan S. Wallach , Rice University
Daniel S. Wallach , Rice University
David B. Johnson , Rice University
Devika Subramanian , Rice University
Edward W. Knightly , Rice University
Joe D. Warren , Rice University
John M. Mellor-Crummey , Rice University
Joseph R. Cavallaro , Rice University
Keith D. Cooper , Rice University
Krishna V. Palem , Rice University
Lin Zhong , Rice University
Luay Nakhleh , Rice University
Lydia E. Kavraki , Rice University
Moshe Y. Vardi , Rice University
Peter J. Varman , Rice University
Richard G. Baraniuk , Rice University
Robert Cartwright , Rice University
Ron Goldman 0002 , Rice University
Ronald N. Goldman , Rice University
Scott Rixner , Rice University
Swarat Chaudhuri , Rice University
T. S. Eugene Ng , Rice University
Tze Sing Eugene Ng , Rice University
Adrienne Decker , Rochester Institute of Technology
Al Biles , Rochester Institute of Technology
Alan Kaminsky , Rochester Institute of Technology
Andrew Meneely , Rochester Institute of Technology
Anne Haake , Rochester Institute of Technology
Bill Stackpole , Rochester Institute of Technology
Bo Yuan , Rochester Institute of Technology
Brian M. Tomaszewski , Rochester Institute of Technology
Bruce Hartpence , Rochester Institute of Technology
Carlos Rivero , Rochester Institute of Technology
Carol J. Romanowski , Rochester Institute of Technology
Catherine Beaton , Rochester Institute of Technology
Charles Border , Rochester Institute of Technology
Christian D. Newman , Rochester Institute of Technology
Christopher A. Egert , Rochester Institute of Technology
Christopher Homan , Rochester Institute of Technology
Christopher M. Homan , Rochester Institute of Technology
Daniel Ashbrook , Rochester Institute of Technology
Daniel Bogaard , Rochester Institute of Technology
Daniel E. Krutz , Rochester Institute of Technology
Daryl Johnson , Rochester Institute of Technology
David Schwartz , Rochester Institute of Technology
Edith Hemaspaandra , Rochester Institute of Technology
Edith Spaan , Rochester Institute of Technology
Edward Holden , Rochester Institute of Technology
Elissa Weeden , Rochester Institute of Technology
Elizabeth Lawley , Rochester Institute of Technology
Fereydoun Kazemian , Rochester Institute of Technology
Gordon Goodman , Rochester Institute of Technology
Hadi Hosseini , Rochester Institute of Technology
Hans-Peter Bischof , Rochester Institute of Technology
Hossein Hojjat , Rochester Institute of Technology
Hrishikesh B. Acharya , Rochester Institute of Technology
Ivona Bezáková , Rochester Institute of Technology
J. Scott Hawker , Rochester Institute of Technology
Jai Kang , Rochester Institute of Technology
James E. Heliotis , Rochester Institute of Technology
James Vallino , Rochester Institute of Technology
Jay Jackson , Rochester Institute of Technology
Jeffrey Lasky , Rochester Institute of Technology
Jessica D. Bayliss , Rochester Institute of Technology
Jim Leone , Rochester Institute of Technology
Joe Geigel , Rochester Institute of Technology
Kevin Bierre , Rochester Institute of Technology
Larry Hill , Rochester Institute of Technology
Leon Reznik , Rochester Institute of Technology
Matt Huenerfauth , Rochester Institute of Technology
Matthew Fluet , Rochester Institute of Technology
Matthew K. Wright , Rochester Institute of Technology
Matthew T. Fluet , Rochester Institute of Technology
Mehdi Mirakhorli , Rochester Institute of Technology
Michael Yacci , Rochester Institute of Technology
Minseok Kwon , Rochester Institute of Technology
Mohamed Wiem Mkaouer , Rochester Institute of Technology
Mohan Kumar , Rochester Institute of Technology
Nancy Doubleday , Rochester Institute of Technology
Naveen Sharma , Rochester Institute of Technology
Nirmala Shenoy , Rochester Institute of Technology
Owen Gottlieb , Rochester Institute of Technology
Paul T. Tymann , Rochester Institute of Technology
Paul Tymann , Rochester Institute of Technology
Peizhao Hu , Rochester Institute of Technology
Pengcheng Shi , Rochester Institute of Technology
Peter Lutz , Rochester Institute of Technology
Pradeep K. Murukannaiah , Rochester Institute of Technology
Qi Rose Yu , Rochester Institute of Technology
Qi Yu , Rochester Institute of Technology
Rajendra K. Raj , Rochester Institute of Technology
Reynold Bailey , Rochester Institute of Technology
Reynold J. Bailey , Rochester Institute of Technology
Richard Zanibbi , Rochester Institute of Technology
Ronald Vullo , Rochester Institute of Technology
Sharon Mason , Rochester Institute of Technology
Stanislaw P. Radziszowski , Rochester Institute of Technology
Stephen Jacobs , Rochester Institute of Technology
Steven J. Zilora , Rochester Institute of Technology
Sumita Mishra , Rochester Institute of Technology
Sylvia Perez-Hardy , Rochester Institute of Technology
Tae Oh , Rochester Institute of Technology
Tona Henderson , Rochester Institute of Technology
Vicki L. Hanson , Rochester Institute of Technology
W. Michelle Harris , Rochester Institute of Technology
Wiem Mkaouer , Rochester Institute of Technology
Wiley R. McKinzie , Rochester Institute of Technology
Xumin Liu , Rochester Institute of Technology
Yin Pan , Rochester Institute of Technology
Zack Butler , Rochester Institute of Technology
Zack J. Butler , Rochester Institute of Technology
Abdeslam Boularias , Rutgers University
Abhishek Bhattacharjee , Rutgers University
Ahmed M. Elgammal , Rutgers University
Alexander Borgida , Rutgers University
Alexander Schliep , Rutgers University
Amélie Marian , Rutgers University
Apostolos Gerasoulis , Rutgers University
B. R. Badrinath , Rutgers University
Badri Nath , Rutgers University
Bahman Kalantari , Rutgers University
Casimir A. Kulikowski , Rutgers University
David Cash , Rutgers University
Desheng Zhang , Rutgers University
Dimitris N. Metaxas , Rutgers University
Eddy Z. Zhang , Rutgers University
Eddy Zheng Zhang , Rutgers University
Endre Szemerédi , Rutgers University
Eric Allender , Rutgers University
Gerard R. Richter , Rutgers University
Gerard de Melo , Rutgers University
Jingjin Yu , Rutgers University
Konstantinos P. Michmizos , Rutgers University
Kostas E. Bekris , Rutgers University
Kostis P. Michmizos , Rutgers University
Louis I. Steinberg , Rutgers University
Manish Parashar , Rutgers University
Marco Gruteser , Rutgers University
Mario Szegedy , Rutgers University
Martin Farach , Rutgers University
Martin Farach-Colton , Rutgers University
Matthew Stone , Rutgers University
Michael L. Fredman , Rutgers University
Mubbasir Kapadia , Rutgers University
Naftaly H. Minsky , Rutgers University
Naftaly Minsky , Rutgers University
Ping Li 0001 , Rutgers University
Pranjal Awasthi , Rutgers University
Rebecca N. Wright , Rutgers University
Richard P. Martin , Rutgers University
S. Muthu Muthukrishnan , Rutgers University
S. Muthukrishnan , Rutgers University
Santosh Nagarakatte , Rutgers University
Shubhangi Saraf , Rutgers University
Swastik Kopparty , Rutgers University
Thu D. Nguyen , Rutgers University
Thu Duc Nguyen , Rutgers University
Tomasz Imielinski , Rutgers University
Ulrich Kremer , Rutgers University
Vladimir I. Pavlovic , Rutgers University
Vladimir Pavlovic , Rutgers University
William Steiger , Rutgers University
Baoliang Lu , Shanghai Jiao Tong University
Beijun Shen , Shanghai Jiao Tong University
Bin Sheng , Shanghai Jiao Tong University
Bin Yao , Shanghai Jiao Tong University
Binyu Zang , Shanghai Jiao Tong University
Cewu Lu , Shanghai Jiao Tong University
Chao Li , Shanghai Jiao Tong University
Chentao Wu , Shanghai Jiao Tong University
Dawu Gu , Shanghai Jiao Tong University
Dominik Scheder , Shanghai Jiao Tong University
Dong Wang , Shanghai Jiao Tong University
Fan Cheng , Shanghai Jiao Tong University
Fan Wu , Shanghai Jiao Tong University
Fang Li , Shanghai Jiao Tong University
Feilong Tang , Shanghai Jiao Tong University
Gang Wu , Shanghai Jiao Tong University
Geng Wang , Shanghai Jiao Tong University
Guangtao Xue , Shanghai Jiao Tong University
Guihai Chen , Shanghai Jiao Tong University
Guoqiang Li , Shanghai Jiao Tong University
Hai Zhao , Shanghai Jiao Tong University
Haibing Guan , Shanghai Jiao Tong University
Haibo Chen , Shanghai Jiao Tong University
Haibo Yu , Shanghai Jiao Tong University
Hao Zhong , Shanghai Jiao Tong University
Haojin Zhu , Shanghai Jiao Tong University
Haopeng Chen , Shanghai Jiao Tong University
Hong-Tao Lu , Shanghai Jiao Tong University
Hongmin	Cai , Shanghai Jiao Tong University
Hongtao Lu , Shanghai Jiao Tong University
Hongzi Zhu , Shanghai Jiao Tong University
Huan Long , Shanghai Jiao Tong University
Jian Cao , Shanghai Jiao Tong University
Jian Li , Shanghai Jiao Tong University
Jianguo Yao , Shanghai Jiao Tong University
Jingwen Leng , Shanghai Jiao Tong University
Kai Yu 0001 , Shanghai Jiao Tong University
Kenny Q. Zhu , Shanghai Jiao Tong University
Kenny Qili Zhu , Shanghai Jiao Tong University
Lei Wang , Shanghai Jiao Tong University
Lei Xu , Shanghai Jiao Tong University
Linghe Kong , Shanghai Jiao Tong University
Linpeng Huang , Shanghai Jiao Tong University
Liping Shen , Shanghai Jiao Tong University
Lizhuang Ma , Shanghai Jiao Tong University
Luoyi Fu , Shanghai Jiao Tong University
Minglu Li , Shanghai Jiao Tong University
Minyi Guo , Shanghai Jiao Tong University
Minyou Wu , Shanghai Jiao Tong University
Qianni Deng , Shanghai Jiao Tong University
Quan Chen , Shanghai Jiao Tong University
Rong Chen , Shanghai Jiao Tong University
Ruimin Shen , Shanghai Jiao Tong University
Shengli Liu , Shanghai Jiao Tong University
Shuangjiu Xiao , Shanghai Jiao Tong University
Tianfang Yao , Shanghai Jiao Tong University
Weijia Jia , Shanghai Jiao Tong University
Wenli Zheng , Shanghai Jiao Tong University
Xiaofeng Gao , Shanghai Jiao Tong University
Xiaoju Dong , Shanghai Jiao Tong University
Xiaotie Deng , Shanghai Jiao Tong University
Xiaoyao Liang , Shanghai Jiao Tong University
Xinbing Wang , Shanghai Jiao Tong University
Xubo Yang , Shanghai Jiao Tong University
Xuejia Lai , Shanghai Jiao Tong University
Yanmin Zhu , Shanghai Jiao Tong University
Yanyan Shen , Shanghai Jiao Tong University
Yong Yu , Shanghai Jiao Tong University
Yu Long , Shanghai Jiao Tong University
Yu Yu , Shanghai Jiao Tong University
Yuan Luo , Shanghai Jiao Tong University
Yuanyuan Zhang , Shanghai Jiao Tong University
Yubin Xia , Shanghai Jiao Tong University
Yuting Chen , Shanghai Jiao Tong University
Yuxi Fu , Shanghai Jiao Tong University
Zhen Liu , Shanghai Jiao Tong University
Zhengwei Qi , Shanghai Jiao Tong University
Zhiqiang Liu , Shanghai Jiao Tong University
A. M. A. Hemmatyar , Sharif University of Technology
Abbas Heydarnoori , Sharif University of Technology
Abolfazl S. Motahari , Sharif University of Technology
Abolfazl Seyed Motahari , Sharif University of Technology
Ali A. Nazari Shirehjini , Sharif University of Technology
Ali Asghar Nazari Shirehjini , Sharif University of Technology
Ali Mohammad Afshin Hemmatyar , Sharif University of Technology
Ali Movaghar , Sharif University of Technology
Ali Movaghar-Rahimabadi , Sharif University of Technology
Ali Reza Ejlali , Sharif University of Technology
Alireza Ejlali , Sharif University of Technology
Amir-Hossein Jahangir , Sharif University of Technology
Ghazanfar Asadi , Sharif University of Technology
Gholamreza Ghassem-Sani , Sharif University of Technology
Hamid Beigy , Sharif University of Technology
Hamid R. Rabiee , Sharif University of Technology
Hamid Reza Rabiee , Sharif University of Technology
Hamid Sarbazi-Azad , Sharif University of Technology
Hamid Zarrabi-Zadeh , Sharif University of Technology
Hossein Asadi , Sharif University of Technology
Hossein Sameti , Sharif University of Technology
Jafar Habibi , Sharif University of Technology
Mahdi Jafari Siavoshani , Sharif University of Technology
Mahdieh Soleymani Baghshah , Sharif University of Technology
Mansour Jamzad , Sharif University of Technology
Maziar Goudarzi , Sharif University of Technology
Mehdi Kharrazi , Sharif University of Technology
Mohammad Ali Abam , Sharif University of Technology
Mohammad Ghodsi , Sharif University of Technology
Mohammad Izadi , Sharif University of Technology
Mohammad-Taghi Manzuri Shalmani , Sharif University of Technology
Morteza Amini , Sharif University of Technology
Raman Ramsin , Sharif University of Technology
Rasool Jalili , Sharif University of Technology
Seyed Ebrahim Abtahi , Sharif University of Technology
Seyed Ghassem Miremadi , Sharif University of Technology
Seyed Hassan Mirian , Sharif University of Technology
Seyed-Hassan Mirian-Hosseinabadi , Sharif University of Technology
Shaahin Hessabi , Sharif University of Technology
Shohreh Kasaei , Sharif University of Technology
Siavash Bayat Sarmadi , Sharif University of Technology
Somayyeh Koohi , Sharif University of Technology
Andrei A. Bulatov , Simon Fraser University
Andrei Bulatov , Simon Fraser University
Anoop Sarkar , Simon Fraser University
Arrvindh Shriraman , Simon Fraser University
Binay Bhattacharya , Simon Fraser University
Binay K. Bhattacharya , Simon Fraser University
Brian V. Funt , Simon Fraser University
David G. Mitchell , Simon Fraser University
Eugenia Ternovska , Simon Fraser University
Eugenia Ternovskaia , Simon Fraser University
Fred Popowich , Simon Fraser University
Ghassan Hamarneh , Simon Fraser University
Greg Mori , Simon Fraser University
Hao (Richard) Zhang , Simon Fraser University
Hao Zhang 0002 , Simon Fraser University
James P. Delgrande , Simon Fraser University
Jian Pei , Simon Fraser University
Jiangchuan Liu , Simon Fraser University
Jiannan Wang , Simon Fraser University
Joseph G. Peters , Simon Fraser University
Joseph Peters , Simon Fraser University
KangKang Yin , Simon Fraser University
Kay C. Wiese , Simon Fraser University
Ke Wang 0001 , Simon Fraser University
Keval Vora , Simon Fraser University
Leonid Chindelevitch , Simon Fraser University
Mark S. Drew , Simon Fraser University
Mark Samuel Drew , Simon Fraser University
Martin Ester , Simon Fraser University
Maxwell W. Libbrecht , Simon Fraser University
Mo Chen , Simon Fraser University
Mohamed Hefeeda , Simon Fraser University
Nick Sumner , Simon Fraser University
Oliver Schulte , Simon Fraser University
Parmit K. Chilana , Simon Fraser University
Pavol Hell , Simon Fraser University
Petra Berenbrink , Simon Fraser University
Ping Tan , Simon Fraser University
Qian-Ping Gu , Simon Fraser University
Qianping Gu , Simon Fraser University
Ramesh Krishnamurti , Simon Fraser University
Richard T. Vaughan , Simon Fraser University
Robert D. Cameron , Simon Fraser University
Ryan C. N. D'Arcy , Simon Fraser University
Thomas C. Shermer , Simon Fraser University
Uwe Glässer , Simon Fraser University
Valentine Kabanets , Simon Fraser University
William N. Sumner , Simon Fraser University
Wo-Shun Luk , Simon Fraser University
Yasutaka Furukawa , Simon Fraser University
Ze-Nian Li , Simon Fraser University
Akshat Kumar , Singapore Management University
Archan Misra , Singapore Management University
Baihua Zheng , Singapore Management University
David Lo , Singapore Management University
Debin Gao , Singapore Management University
Ee-Peng Lim , Singapore Management University
Feida Zhu , Singapore Management University
Hady Wirawan Lauw , Singapore Management University
Hoong Chuin Lau , Singapore Management University
Hwee Pink Tan , Singapore Management University
Hwee-Pink Tan , Singapore Management University
Jie Xiong , Singapore Management University
Jing Jiang , Singapore Management University
Kyriakos Mouratidis , Singapore Management University
Lingxiao Jiang , Singapore Management University
Pradeep Varakantham , Singapore Management University
Rajesh Krishna Balan , Singapore Management University
Robert H. Deng , Singapore Management University
Robert Huijie Deng , Singapore Management University
Shih-Fen Cheng , Singapore Management University
Steven C. H. Hoi , Singapore Management University
Steven Chu-Hong Hoi , Singapore Management University
Xuhua Ding , Singapore Management University
Yingiu Li , Singapore Management University
Youngki Lee , Singapore Management University
Aditya P. Mathur , Singapore University of Technology and Design
Alexander Binder , Singapore University of Technology and Design
David Yau , Singapore University of Technology and Design
Dorien Herremans , Singapore University of Technology and Design
Hyowon Lee , Singapore University of Technology and Design
Jianying Zhou , Singapore University of Technology and Design
Jun Sun , Singapore University of Technology and Design
Martín Ochoa , Singapore University of Technology and Design
Martín Ochoa Ronderos , Singapore University of Technology and Design
Meihui Zhang , Singapore University of Technology and Design
Ngai-Man Cheung , Singapore University of Technology and Design
Nils Ole Tippenhauer , Singapore University of Technology and Design
Sai Kit Yeung , Singapore University of Technology and Design
Sai-Kit Yeung , Singapore University of Technology and Design
Simon Lui , Singapore University of Technology and Design
Sudipta Chattopadhyay , Singapore University of Technology and Design
Tony Quek , Singapore University of Technology and Design
Wei Lu , Singapore University of Technology and Design
Yue Zhang , Singapore University of Technology and Design
Aaron Sidford , Stanford University
Alex Aiken , Stanford University
Alexander Aiken , Stanford University
Anshul Kundaje , Stanford University
Balaji Prabhakar , Stanford University
Christoforos E. Kozyrakis , Stanford University
Christopher D. Manning , Stanford University
Christopher Ré , Stanford University
Christos Kozyrakis , Stanford University
Dan Boneh , Stanford University
Dan Jurafsky , Stanford University
Daniel Jurafsky , Stanford University
David L. Dill , Stanford University
David Mazières , Stanford University
David R. Cheriton , Stanford University
Dawson R. Engler , Stanford University
Doug L. James , Stanford University
Emma Brunskill , Stanford University
Eric Roberts , Stanford University
Fei-Fei Li , Stanford University
Gill Bejerano , Stanford University
Gregory Valiant , Stanford University
Hector Garcia-Molina , Stanford University
J. Kenneth Salisbury , Stanford University
James A. Landay , Stanford University
Jennifer Widom , Stanford University
John C. Mitchell , Stanford University
John K. Ousterhout , Stanford University
John Kenneth Salisbury Jr. , Stanford University
John L. Hennessy , Stanford University
Jure Leskovec , Stanford University
Keith Winstein , Stanford University
Kenneth Salisbury , Stanford University
Kunle Olukotun , Stanford University
Leonidas J. Guibas , Stanford University
Li Fei-Fei , Stanford University
Maneesh Agrawala , Stanford University
Mark A. Horowitz , Stanford University
Mark Horowitz , Stanford University
Mary Wootters , Stanford University
Matei A. Zaharia , Stanford University
Matei Zaharia , Stanford University
Mehran Sahami , Stanford University
Mendel Rosenblum , Stanford University
Michael R. Genesereth , Stanford University
Michael S. Bernstein , Stanford University
Monica S. Lam , Stanford University
Moses Charikar , Stanford University
Moses Samson Charikar , Stanford University
Nick McKeown , Stanford University
Omer Reingold , Stanford University
Oussama Khatib , Stanford University
Oyekunle A. Olukotun , Stanford University
Pat Hanrahan , Stanford University
Patrick M. Hanrahan , Stanford University
Percy Liang , Stanford University
Peter Bailis , Stanford University
Philip Levis , Stanford University
Ron Fedkiw , Stanford University
Ron O. Dror , Stanford University
Ronald Fedkiw , Stanford University
Sachin Katti , Stanford University
Sachin Rajsekhar Katti , Stanford University
Serafim Batzoglou , Stanford University
Silvio Savarese , Stanford University
Stefano Ermon , Stanford University
Subhasish Mitra , Stanford University
Tim Roughgarden , Stanford University
William J. Dally , Stanford University
Yoav Shoham , Stanford University
Adriana B. Compagnoni , Stevens Institute of Technology
Antonio Nicolosi , Stevens Institute of Technology
Brian Borowski , Stevens Institute of Technology
David A. Naumann , Stevens Institute of Technology
David J. Farber , Stevens Institute of Technology
David Klappholz , Stevens Institute of Technology
Dimitrios Damopoulos , Stevens Institute of Technology
Dominic Duggan , Stevens Institute of Technology
Eduardo Bonelli , Stevens Institute of Technology
Enrique Dunn , Stevens Institute of Technology
Eric Koskinen , Stevens Institute of Technology
Georgios Portokalidis , Stevens Institute of Technology
Giuseppe Ateniese , Stevens Institute of Technology
Hui Wang 0013 , Stevens Institute of Technology
Iraklis Tsekourakis , Stevens Institute of Technology
Nikos Triandopoulos , Stevens Institute of Technology
Philippos Mordohai , Stevens Institute of Technology
Samantha Kleinberg , Stevens Institute of Technology
Susanne Wetzel , Stevens Institute of Technology
Wendy Hui Wang , Stevens Institute of Technology
Xinchao Wang , Stevens Institute of Technology
Allen Tannenbaum , Stony Brook University
Amir Rahmati , Stony Brook University
Anita Wasilewska , Stony Brook University
Anshul Gandhi , Stony Brook University
Arie E. Kaufman , Stony Brook University
Aruna Balasubramanian , Stony Brook University
Barbara M. Chapman , Stony Brook University
Barbara Mary Chapman , Stony Brook University
C. R. Ramakrishnan , Stony Brook University
Cartic R. Ramakrishnan , Stony Brook University
Dimitris Samaras , Stony Brook University
Erez Zadok , Stony Brook University
Eugene W. Stark , Stony Brook University
Francesco Orabona , Stony Brook University
Fusheng Wang , Stony Brook University
H. Andrew Schwartz , Stony Brook University
Hansen Andrew Schwartz , Stony Brook University
Himanshu Gupta , Stony Brook University
Hong Qin , Stony Brook University
I. V. Ramakrishnan , Stony Brook University
Jie Gao , Stony Brook University
Jing Chen 0001 , Stony Brook University
Klaus Mueller , Stony Brook University
Leo Bachmair , Stony Brook University
Michael A. Bender , Stony Brook University
Michael Ferdman , Stony Brook University
Michael Kifer , Stony Brook University
Michalis Polychronakis , Stony Brook University
Minh Hoai , Stony Brook University
Minh Hoai Nguyen , Stony Brook University
Nick Nikiforakis , Stony Brook University
Nima Honarmand , Stony Brook University
Niranjan Balasubramanian , Stony Brook University
Omkant Pandey , Stony Brook University
R. Sekar , Stony Brook University
Radu Sion , Stony Brook University
Rezaul Alam Chowdhury , Stony Brook University
Rezaul Chowdhury , Stony Brook University
Robert F. Kelly , Stony Brook University
Robert Patro , Stony Brook University
Rong Zhao , Stony Brook University
Roy Shilkrot , Stony Brook University
Samir R. Das , Stony Brook University
Samir Ranjan Das , Stony Brook University
Sangjin Hong , Stony Brook University
Scott A. Smolka , Stony Brook University
Scott D. Stoller , Stony Brook University
Steven Skiena , Stony Brook University
Wei Zhu , Stony Brook University
Xianfeng David Gu , Stony Brook University
Xianfeng Gu , Stony Brook University
Xiangmin Jiao , Stony Brook University
Xiaojun Bi , Stony Brook University
Xin Wang 0001 , Stony Brook University
Yanhong A. Liu , Stony Brook University
Yuanyuan Yang , Stony Brook University
Zhenhua Liu , Stony Brook University
Ahmad-Reza Sadeghi , TU Darmstadt
Alejandro P. Buchmann , TU Darmstadt
Andreas Koch , TU Darmstadt
Carsten Binnig , TU Darmstadt
Chris Biemann , TU Darmstadt
Christian Biemann , TU Darmstadt
Christian Bischof , TU Darmstadt
Dieter W. Fellner , TU Darmstadt
Felix Wolf , TU Darmstadt
Gerhard Neumann , TU Darmstadt
Guido Salvaneschi , TU Darmstadt
Heiko Mantel , TU Darmstadt
Iryna Gurevych , TU Darmstadt
Jan Peters 0001 , TU Darmstadt
Johannes A. Buchmann , TU Darmstadt
Johannes Fürnkranz , TU Darmstadt
Karsten Weihe , TU Darmstadt
Kristian Kersting , TU Darmstadt
Marc Fischlin , TU Darmstadt
Matthias Hollick , TU Darmstadt
Max Mühlhäuser , TU Darmstadt
Melanie Volkamer , TU Darmstadt
Michael Goesele , TU Darmstadt
Michael Pradel , TU Darmstadt
Michael Waidner , TU Darmstadt
Mira Mezini , TU Darmstadt
Neeraj Suri , TU Darmstadt
Oskar von Stryk , TU Darmstadt
Patrick Eugster , TU Darmstadt
Patrick Th. Eugster , TU Darmstadt
Reiner Hähnle , TU Darmstadt
Stefan Katzenbeisser 0001 , TU Darmstadt
Stefan Roth , TU Darmstadt
Alan Hanjalic , TU Delft
Alberto Bacchelli , TU Delft
Alessandro Bozzon , TU Delft
Alexandru Iosup , TU Delft
Andy Zaidman , TU Delft
Anna Vilanova , TU Delft
Anna Vilanova Bartrolí , TU Delft
Arie van Deursen , TU Delft
Birna van Riemsdijk , TU Delft
Boudewijn P. F. Lelieveldt , TU Delft
Catholijn Jonker , TU Delft
Catholijn M. Jonker , TU Delft
Cees Witteveen , TU Delft
Christian Doerr , TU Delft
Christoph Lofi , TU Delft
Claudia Hauff , TU Delft
Cynthia C. S. Liem , TU Delft
Cynthia Liem , TU Delft
David M. J. Tax , TU Delft
David Martinus Johannes Tax , TU Delft
Dick H. J. Epema , TU Delft
Eelco Visser , TU Delft
Elmar Eisemann , TU Delft
Emile A. Hendriks , TU Delft
Erik Meijer , TU Delft
Felienne Hermans , TU Delft
Fernando A. Kuipers , TU Delft
Geert Jan Houben , TU Delft
Georgi Gaydadjiev , TU Delft
